Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
BAXFIS02,,-2765.149176366699,C1,18.75,44.33,45.55,54.03,-2764.78353161,-2764.7825874,0.08211779,-2764.86470519,305091.12,1790.2,1121.0,
BOYDOI,,-3200.863560278227,C1,10.78,13.69,15.71,15.94,-3200.50100978,-3200.50006557,0.09943594,-3200.59950151,212446.704,1758.6,971.0,
CAGROU,,-3205.388792224321,C1,17.75,18.87,24.97,27.16,-3204.81279435,-3204.81185014,0.09639423,-3204.90824436,1004799.776,1501.8,1615.0,
ERIWEK01,,-3504.857240274193,C1,19.03,28.13,29.29,33.35,-3504.32768313,-3504.32673892,0.10007388,-3504.4268128,688792.272,1751.2,1329.0,
ERIWOU01,,-3583.493841822883,C1,17.62,25.74,26.77,28.95,-3582.90405295,-3582.90310874,0.10555334,-3583.00866208,802608.448,1698.0,1415.0,
FEGVOE01,,-3127.070926272306,C1,21.95,25.06,30.1,34.25,-3126.26590594,-3126.26496173,0.11862705,-3126.38358878,2299036.848,932.9,1423.0,
HALCROW-H,,-2660.150118953114,C1,14.79,25.29,29.37,44.76,-2659.73047469,-2659.72953048,0.081263,-2659.81079348,591893.024,859.7,1145.0,
HALCROW-X-Br,,-7807.30736072631,C1,8.5,13.96,29.51,42.41,-7806.90564308,-7806.90469888,0.08917723,-7806.99387611,751522.528,838.7,1229.0,
HALCROW-X-CH2SCN,,-3719.679730875216,C1,21.47,26.91,30.69,32.05,-3719.19360724,-3719.19266303,0.0995286,-3719.29219163,1942172.656,1680.9,1417.0,
HALCROW-X-cisCHCHC6H4CN4,,-3462.004133017121,"
*****************
*ORCA*
*****************

#",,,,,,,,,,548.1,1825.0,Error termination in PROPINT
