Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used
BAXFIS02,,-2764.716695554078,C1,22.94,45.03,46.61,54.59,-2764.35872988,-2764.35778567,0.08267829,-2764.44046396,130841.52,3612.9,1121.0
BOYDOI,,-3200.491191051398,C1,13.41,20.12,21.7,22.82,-3200.13433373,-3200.13338952,0.09767749,-3200.23106701,61356.88,3593.7,971.0
CAGROU,,-3204.97933920898,C1,16.45,16.77,19.56,27.98,-3204.41206917,-3204.41112497,0.10005324,-3204.51117821,302301.52,3582.6,1615.0
ERIWEK01,,-3504.381468048276,C1,26.02,30.75,34.94,36.45,-3503.86004222,-3503.85909802,0.09976489,-3503.9588629,248653.072,3598.7,1329.0
ERIWOU01,,-3582.985838384925,C1,25.49,27.12,30.7,35.03,-3582.40501089,-3582.40406668,0.10533119,-3582.50939787,281500.432,3620.6,1415.0
FEGVOE01,,-3126.563066374779,C1,17.81,26.56,27.77,31.08,-3125.76868251,-3125.7677383,0.11957505,-3125.88731335,384625.344,7240.6,1423.0
HALCROW-H,,-2659.754893439558,C1,17.52,28.01,32.74,49.61,-2659.34257855,-2659.34163434,0.08100452,-2659.42263886,155334.688,3595.4,1145.0
HALCROW-X-Br,,-7806.832260572319,C1,9.7,14.16,32.54,44.87,-7806.437841,-7806.43689679,0.08913061,-7806.5260274,152950.112,3625.1,1229.0
HALCROW-X-CH2SCN,,-3719.165967750342,C1,22.34,28.82,29.39,33.04,-3718.68870259,-3718.68775838,0.09971828,-3718.78747667,264174.448,3621.2,1417.0
HALCROW-X-cisCHCHC6H4CN4,,-3461.439865518081,C1,7.91,8.29,27.45,28.78,-3460.79175951,-3460.7908153,0.11809164,-3460.90890694,530787.04,14429.2,1825.0
HALCROW-X-cisCHCHC6H4NO24,,-3686.004162306159,C1,7.01,7.54,26.52,27.4,-3685.34664985,-3685.34570564,0.12117603,-3685.46688166,477572.624,7232.3,1887.0
HALCROW-X-cisCHCHPh,,-3276.968662136836,C1,8.87,9.17,27.54,32.73,-3276.32223016,-3276.32128595,0.11111503,-3276.43240099,344945.216,7194.1,1713.0
HALCROW-X-Cl,,-3578.919698529306,C1,12.24,18.07,32.67,46.48,-3578.52448259,-3578.52353838,0.0869468,-3578.61048518,150565.68,3623.4,1207.0
HALCROW-X-CO2H,,-3036.890144273299,C1,11.86,17.16,33.1,46.85,-3036.44338547,-3036.44244126,0.09319888,-3036.53564014,189656.336,3589.3,1331.0
HALCROW-X-F,,-2858.237482235034,C1,14.9,22.25,32.8,48.27,-2857.8400196,-2857.83907539,0.08475296,-2857.92382835,159966.96,3591.5,1195.0
HALCROW-X-I,,-3254.196631612301,C1,8.3,11.99,32.39,43.54,-3253.80277787,-3253.80183366,0.09069264,-3253.89252631,163267.52,3588.4,1233.0
HALCROW-X-Me,,-2738.379920745239,C1,14.91,22.54,32.24,47.2,-2737.90966759,-2737.90872338,0.08861114,-2737.99733452,177716.416,3613.7,1231.0
HALCROW-X-NH3,,-2770.500524057891,C1,15.98,22.29,31.21,45.25,-2770.05193591,-2770.0509917,0.08709489,-2770.13808659,149457.872,3592.0,1219.0
HALCROW-X-NMe2,,-2927.680578208654,C1,13.61,13.67,29.11,43.43,-2927.11382352,-2927.11287931,0.09960692,-2927.21248623,205336.128,3605.9,1391.0
HALCROW-X-NO2,,-3068.728607431965,C1,11.94,17.41,33.8,47.92,-3068.30791906,-3068.30697485,0.09233599,-3068.39931084,168930.992,3581.1,1319.0
HALCROW-X-OH,,-2810.217328899336,C1,15.44,22.24,31.9,46.79,-2809.79424246,-2809.79329825,0.08559893,-2809.87889718,149971.456,3617.0,1207.0
HALCROW-X-OMe,,-2888.800441111356,C1,13.52,18.92,31.59,44.84,-2888.31817216,-2888.31722795,0.09190294,-2888.40913089,178380.928,3606.6,1293.0
HALCROW-X-pz,,-3109.714388932963,C1,10.45,14.05,31.79,42.85,-3109.19303023,-3109.19208602,0.09742556,-3109.28951157,253394.16,3574.1,1479.0
HALCROW-X-SH,,-3456.122083674893,C1,13.02,18.36,32.27,45.42,-3455.70827249,-3455.70732828,0.0887374,-3455.79606567,183450.496,3599.3,1219.0
HALCROW-X-SMe,,-3534.739591514952,C1,12.99,14.08,30.66,44.38,-3534.26394149,-3534.26299728,0.09491481,-3534.35791209,200946.272,3623.1,1305.0
