Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Smallest log10(kcal mol-1) SCF Energy Diff
BIHGEE-S4,B3LYP,def2-TZVP,1489.0,0.0,2.0,0.704954,654.37,3286.6,16.0,947348.0,-4375.32228593,-4374.73064162,0.10781034,-4374.83845197,14.21,18.56,19.82,24.49,-5.092950366356427
BIHGII-S4,B3LYP,def2-TZVP,1511.0,0.0,2.0,0.772699,743.27,3381.7,16.0,1108944.0,-8603.08835215,-8602.49692955,0.10921646,-8602.60614601,14.53,19.61,20.35,24.77,-4.821158343731651
BUQVOY-S2,B3LYP,def2-TZVP,1878.0,0.0,2.0,0.097332,871.33,3417.6,16.0,2177158.0,-4468.32734868,-4467.54970089,0.1237377,-4467.67343858,16.47,18.04,22.43,28.47,-4.3590491977343575
CETBOV-S4,B3LYP,def2-TZVP,1647.0,0.0,2.0,0.798102,797.32,3274.7,16.0,1147360.0,-8793.80852988,-8793.16884282,0.11137968,-8793.28022251,20.54,23.38,26.55,30.91,-4.030119391063299
CETBUB-S4,B3LYP,def2-TZVP,1749.0,0.0,2.0,0.404041,753.7,3266.0,16.0,1952104.0,-4627.68594391,-4627.02262633,0.11836139,-4627.14098772,17.8,19.19,21.49,24.36,-5.841838937865792
CTPYCO01-S4,B3LYP,def2-TZVP,743.0,0.0,2.0,0.034837,363.1,3709.8,16.0,90834.0,-3045.49308744,-3045.24238626,0.06353168,-3045.30591795,32.9,54.09,66.57,67.77,-5.153855487028119
DAHROU01-S4,B3LYP,def2-TZVP,849.0,0.0,2.0,0.01054,405.15,3744.1,16.0,146503.0,-2741.1717787,-2740.91422721,0.08074987,-2740.99497708,20.85,33.67,34.08,49.0,-5.418028087812498
FUFVUX02-S4,B3LYP,def2-TZVP,649.0,0.0,2.0,0.824911,322.1,3352.6,16.0,114779.0,-2912.73849336,-2912.45824669,0.07261995,-2912.53086664,20.26,25.13,33.53,38.51,-5.47509391493161
JAWJAT01-S4,B3LYP,def2-TZVP,1119.0,0.0,2.0,0.193203,471.36,3482.8,16.0,550281.0,-2796.30662889,-2795.84556687,0.09313284,-2795.93869971,17.23,22.74,27.58,27.99,-7.226550680804075
JUWPIA10-S2,B3LYP,def2-TZVP,1263.0,0.0,2.0,0.017641,531.9,3536.7,16.0,807716.0,-3590.99478819,-3590.33233715,0.11377214,-3590.44610929,21.1,33.6,36.05,38.36,-5.230746795397683
KIQREL-S4,B3LYP,def2-TZVP,1290.0,0.0,2.0,0.326827,650.22,3396.4,16.0,522010.0,-7921.15013204,-7920.68888071,0.09491367,-7920.78379438,15.61,24.09,24.41,27.8,-5.547402432934332
KIQRIP-S4,B3LYP,def2-TZVP,2045.0,0.0,2.0,0.247215,935.51,3303.8,16.0,2305784.0,-8814.39026062,-8813.69839368,0.11856066,-8813.81695434,14.12,24.78,27.14,29.93,-5.72454398145451
KIQROV-S4,B3LYP,def2-TZVP,1515.0,0.0,2.0,0.098741,615.53,3389.3,16.0,1011618.0,-3214.84058426,-3214.25471137,0.10483217,-3214.35954354,20.21,21.7,29.85,38.98,-4.615338175332511
LEGWAW-S4,B3LYP,def2-TZVP,1549.0,0.0,2.0,0.046818,689.63,3186.9,16.0,1618580.0,-4546.9256593,-4546.22725773,0.12376764,-4546.35102537,5.74,10.0,13.65,19.12,-4.581657808363953
OZIMIV-S4,B3LYP,def2-TZVP,861.0,0.0,2.0,0.00618,387.25,3639.4,16.0,208984.0,-2545.02489177,-2544.73934029,0.07619798,-2544.81553827,31.51,36.53,57.04,58.01,-5.718604037975736
PEBSEW-S4,B3LYP,def2-TZVP,1305.0,0.0,2.0,0.215361,551.4,3458.8,16.0,598885.0,-3099.14265981,-3098.6444385,0.10080955,-3098.74524805,10.68,11.96,14.81,26.74,-5.334509618701951
PEBSOG-S4,B3LYP,def2-TZVP,1713.0,0.0,2.0,0.109922,705.57,3091.8,16.0,1195673.0,-3593.20776422,-3592.56297248,0.11762652,-3592.68059901,11.8,18.25,20.58,21.25,-4.613095124379152
PEBSUM-S4,B3LYP,def2-TZVP,1613.0,0.0,2.0,0.090171,653.58,3432.1,16.0,1000836.0,-3368.95709313,-3368.28878433,0.11772274,-3368.40650707,9.6,10.64,11.56,15.36,-4.493492377580733
RIPSEO-S2,B3LYP,def2-TZVP,1327.0,0.0,2.0,0.02146,539.72,3390.2,16.0,789020.0,-3235.7547556,-3235.1403193,0.10326807,-3235.24358737,18.75,26.8,36.1,37.85,-4.142297597498824
RIPSIS-S2,B3LYP,def2-TZVP,1179.0,0.0,2.0,0.036968,487.65,3476.2,16.0,656555.0,-3080.99547869,-3080.45346773,0.09342991,-3080.54689764,14.58,26.63,27.59,33.47,-5.391043034333056
SAPBIV-S4,B3LYP,def2-TZVP,749.0,0.0,2.0,0.828844,366.11,3677.8,16.0,120065.0,-3062.75398773,-3062.49165007,0.06831551,-3062.55996558,12.56,18.97,27.66,69.26,-5.3948408382071715
SEQFIE-S4,B3LYP,def2-TZVP,613.0,0.0,2.0,0.930829,320.05,2639.9,16.0,84634.0,-2942.46773025,-2942.25558863,0.06540133,-2942.32098996,4.7,23.24,28.86,68.35,-4.63054601660015
TPORCP11-S2,B3LYP,def2-TZVP,1701.0,0.0,2.0,0.006756,671.63,3428.9,16.0,760428.0,-3294.87657854,-3294.24295163,0.10170781,-3294.34465945,7.71,14.91,21.99,23.04,-5.7308996238856915
TUBTIT-S2,B3LYP,def2-TZVP,704.0,0.0,2.0,0.020076,293.26,3739.5,16.0,117379.0,-2117.90485194,-2117.54785645,0.07264363,-2117.62050009,14.84,44.21,73.67,87.6,-4.654886633164739
UKUJUG-S4,B3LYP,def2-TZVP,1253.0,0.0,2.0,0.962561,483.54,3456.4,16.0,664970.0,-2656.67776047,-2656.06234195,0.09745825,-2656.1598002,9.13,13.04,22.7,25.13,-4.614766116845824
VIYGIU-S4,B3LYP,def2-TZVP,1181.0,0.0,2.0,0.145607,495.38,3464.3,16.0,594654.0,-2872.46650225,-2871.98980223,0.09441922,-2872.08422145,17.15,21.63,23.01,27.52,-5.403854644896467
XIZLUO04-S4,B3LYP,def2-TZVP,897.0,0.0,2.0,0.373858,447.32,3689.0,16.0,225566.0,-3431.41178172,-3431.09467469,0.08764572,-3431.18232041,18.07,35.89,41.37,46.37,-4.402788121255761
YUDGUA02-S4,B3LYP,def2-TZVP,1625.0,0.0,2.0,0.728004,708.42,3190.2,16.0,1118349.0,-4566.04189064,-4565.40195986,0.10982999,-4565.51178985,20.33,22.57,27.42,32.98,-5.289148533774373
