Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Smallest log10(kcal mol-1) SCF Energy Diff
BIHGEE-S4,PBE0,def2-TZVP,1489.0,0.0,2.0,0.746053,654.37,3290.1,16.0,991556.0,-4374.00860879,-4373.41380832,0.10725204,-4373.52106036,14.78,21.29,22.67,28.96,-4.820862894131297
BIHGII-S4,PBE0,def2-TZVP,1511.0,0.0,2.0,0.793993,743.27,3385.2,16.0,1183848.0,-8601.6060366,-8601.01148332,0.10870349,-8601.12018681,15.12,21.44,23.15,28.13,-5.497261255012902
BUQVOY-S2,PBE0,def2-TZVP,1878.0,0.0,2.0,0.136094,871.33,3423.3,16.0,2161728.0,-4466.95089536,-4466.16907569,0.12295226,-4466.29202796,17.3,21.17,24.01,26.05,-4.458425088674764
CETBOV-S4,PBE0,def2-TZVP,1647.0,0.0,2.0,0.816373,797.32,3278.4,16.0,1441799.0,-8792.23398025,-8791.59070598,0.11111023,-8791.70181621,18.28,22.63,25.23,31.27,-5.55837988563184
CETBUB-S4,PBE0,def2-TZVP,1749.0,0.0,2.0,0.452482,753.7,3270.6,16.0,1543414.0,-4626.17180957,-4625.50455939,0.1179134,-4625.62247279,17.19,18.3,20.34,24.89,-4.779631338383447
CTPYCO01-S4,PBE0,def2-TZVP,743.0,0.0,2.0,0.074335,363.1,3710.3,16.0,125133.0,-3044.70514992,-3044.45277674,0.06336929,-3044.51614603,34.39,53.77,66.17,67.66,-5.311668703021609
DAHROU01-S4,PBE0,def2-TZVP,849.0,0.0,2.0,0.201296,405.15,3744.8,16.0,185258.0,-2740.21080897,-2739.95021533,0.07962425,-2740.02983957,20.64,38.37,49.08,51.29,-4.973814310979933
FUFVUX02-S4,PBE0,def2-TZVP,649.0,0.0,2.0,0.862501,322.1,3363.5,16.0,134250.0,-2912.0384387,-2911.75641958,0.07226786,-2911.82868743,20.41,25.37,32.8,36.96,-4.7427714304698885
JAWJAT01-S4,PBE0,def2-TZVP,1119.0,0.0,2.0,0.336591,471.36,3483.6,16.0,561341.0,-2795.31302877,-2794.84903853,0.0923207,-2794.94135923,18.15,25.44,28.94,31.55,-6.181378211283143
JUWPIA10-S2,PBE0,def2-TZVP,1263.0,0.0,2.0,0.017045,531.9,3539.5,16.0,742963.0,-3589.92781627,-3589.26313082,0.11360342,-3589.37673423,22.58,31.87,37.12,40.26,-4.7040813674905175
KIQREL-S4,PBE0,def2-TZVP,1290.0,0.0,2.0,0.444803,650.22,3397.5,16.0,488036.0,-7919.82817083,-7919.36372688,0.09464132,-7919.4583682,14.31,23.17,24.09,26.81,-5.208715023741725
KIQRIP-S4,PBE0,def2-TZVP,2045.0,0.0,2.0,0.359195,935.51,3350.5,16.0,2603395.0,-8812.57829553,-8811.88130545,0.11801586,-8811.99932131,13.99,27.71,29.26,31.57,-7.261312787063287
KIQROV-S4,PBE0,def2-TZVP,1515.0,0.0,2.0,0.248593,615.53,3391.6,16.0,987613.0,-3213.62295276,-3213.0332416,0.10474411,-3213.13798571,19.14,21.5,29.2,35.18,-4.704884640560448
LEGWAW-S4,PBE0,def2-TZVP,1549.0,0.0,2.0,0.136544,689.63,3190.9,16.0,2220644.0,-4545.45053532,-4544.74813084,0.12213222,-4544.87026306,6.75,11.42,18.48,24.1,-4.471218299277717
OZIMIV-S4,PBE0,def2-TZVP,861.0,0.0,2.0,0.006297,387.25,3639.9,16.0,214274.0,-2544.19247468,-2543.9036634,0.07528579,-2543.97894919,37.14,39.25,56.3,60.25,-5.141081710917403
PEBSEW-S4,PBE0,def2-TZVP,1305.0,0.0,2.0,0.351596,551.4,3474.5,16.0,784804.0,-3097.98312117,-3097.48116831,0.10009534,-3097.58126365,11.77,12.5,13.66,25.61,-7.1753981583566935
PEBSOG-S4,PBE0,def2-TZVP,1713.0,0.0,2.0,0.292761,705.57,3095.8,16.0,1053109.0,-3591.76873502,-3591.11916896,0.11642503,-3591.23559398,12.24,19.46,21.14,23.01,-5.070222903208624
PEBSUM-S4,PBE0,def2-TZVP,1613.0,0.0,2.0,0.273478,653.58,3434.8,16.0,1085141.0,-3367.64319542,-3366.97031899,0.1170128,-3367.08733179,9.19,9.97,10.33,14.59,-5.358335912321469
RIPSEO-S2,PBE0,def2-TZVP,1327.0,0.0,2.0,0.021466,539.72,3392.8,16.0,821326.0,-3234.71836837,-3234.10098836,0.10300862,-3234.20399698,19.28,27.08,33.78,36.84,-4.842355852604742
RIPSIS-S2,PBE0,def2-TZVP,1179.0,0.0,2.0,0.033597,487.65,6666.8,16.0,424527.0,-3080.04724262,-3079.50274318,0.09353173,-3079.59627491,15.73,22.8,25.93,33.73,-5.275428082952884
SAPBIV-S4,PBE0,def2-TZVP,749.0,0.0,2.0,0.856902,366.11,3678.3,16.0,168346.0,-3061.96506228,-3061.70068527,0.0679691,-3061.76865437,13.04,18.64,28.82,68.73,-5.595419241528854
SEQFIE-S4,PBE0,def2-TZVP,613.0,0.0,2.0,0.937903,320.05,2643.7,16.0,143052.0,-2941.73762435,-2941.52366176,0.06402229,-2941.58768404,17.43,26.05,35.3,80.58,-6.432009014232262
TPORCP11-S2,PBE0,def2-TZVP,1701.0,0.0,2.0,0.007009,671.63,3431.6,16.0,1035788.0,-3293.64556203,-3293.00718767,0.10019253,-3293.1073802,8.29,21.54,30.2,35.22,-4.915694038454313
TUBTIT-S2,PBE0,def2-TZVP,704.0,0.0,2.0,0.023007,293.26,3740.2,16.0,165303.0,-2117.3325267,-2116.97363836,0.07259867,-2117.04623703,14.45,42.9,75.65,78.71,-4.9190443575237905
UKUJUG-S4,PBE0,def2-TZVP,1253.0,0.0,2.0,0.981513,483.54,3459.1,16.0,721261.0,-2655.7962927,-2655.17779988,0.09634461,-2655.27414449,13.43,17.78,23.94,27.63,-6.187823555415121
VIYGIU-S4,PBE0,def2-TZVP,1181.0,0.0,2.0,0.32441,495.38,3467.9,16.0,583148.0,-2871.43326781,-2870.95349463,0.09403328,-2871.04752791,17.21,18.45,19.25,28.37,-5.193242938268771
XIZLUO04-S4,PBE0,def2-TZVP,897.0,0.0,2.0,0.474432,447.32,3689.7,16.0,314493.0,-3430.33724668,-3430.01734008,0.0864682,-3430.10380827,17.69,37.38,44.82,46.9,-5.185537789707573
YUDGUA02-S4,PBE0,def2-TZVP,1625.0,0.0,2.0,0.766535,708.42,3194.0,16.0,1290954.0,-4564.63609012,-4563.99255396,0.1095822,-4564.10213617,19.03,21.91,26.27,33.15,-4.689628212773075
