Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BIHGEE-S4,M06L,def2-TZVP,1489.0,0.0,4.0,0.023911,654.37,7197.7,16.0,503486.0,-4376.25616496,-4375.6304636,0.08755203,-4375.71801563,73.25,76.98,77.5,89.86
BIHGII-S4,M06L,def2-TZVP,1511.0,0.0,4.0,0.024944,743.27,7224.6,16.0,603785.0,-8603.96615464,-8603.34076292,0.08903483,-8603.42979776,65.66,68.98,70.9,76.37
BUQVOY-S2,M06L,def2-TZVP,1878.0,0.0,4.0,0.026255,871.33,7159.0,16.0,1031300.0,-4469.58255409,-4468.80055264,0.12298173,-4468.92353437,12.12,23.15,29.73,33.08
CETBOV-S4,M06L,def2-TZVP,1647.0,0.0,4.0,0.023592,797.32,7172.9,16.0,517625.0,-8794.77554024,-8794.09790277,0.0915022,-8794.18940497,62.49,65.95,67.88,76.52
CETBUB-S4,M06L,def2-TZVP,1749.0,0.0,4.0,0.026066,753.7,7197.5,16.0,581466.0,-4628.78366824,-4628.1177721,0.11995895,-4628.23773105,6.32,17.86,24.37,27.63
CTPYCO01-S4,M06L,def2-TZVP,743.0,0.0,4.0,0.076412,363.1,1997.0,16.0,57601.0,-3045.9822056,-3045.73121065,0.06601244,-3045.79722309,30.73,40.1,53.93,72.12
DAHROU01-S4,M06L,def2-TZVP,849.0,0.0,4.0,0.011933,405.15,2698.1,16.0,70068.0,-2741.68831302,-2741.42994332,0.08131919,-2741.51126251,12.96,30.79,32.79,35.14
FUFVUX02-S4,M06L,def2-TZVP,649.0,0.0,4.0,0.013883,322.1,1590.2,16.0,52929.0,-2913.18232136,-2912.90056696,0.07410319,-2912.97467015,7.15,21.76,31.43,45.31
JAWJAT01-S4,M06L,def2-TZVP,1119.0,0.0,4.0,0.02588,471.36,3599.1,16.0,221324.0,-2796.94843161,-2796.48643629,0.09428216,-2796.58071845,15.29,18.7,31.09,33.21
JUWPIA10-S2,M06L,def2-TZVP,1263.0,0.0,4.0,0.01574,531.9,3633.5,16.0,334212.0,-3591.74139771,-3591.07592319,0.11654435,-3591.19246754,14.99,34.63,36.91,45.55
KIQREL-S4,M06L,def2-TZVP,1290.0,0.0,4.0,0.029756,650.22,7190.7,16.0,501339.0,-7921.89149291,-7921.4019734,0.07898599,-7921.4809594,59.2,69.05,74.92,79.5
KIQRIP-S4,M06L,def2-TZVP,2045.0,0.0,4.0,0.055498,935.51,7142.6,16.0,1183947.0,-8815.59663235,-8814.90262955,0.11806482,-8815.02069437,20.52,31.28,33.66,34.83
KIQROV-S4,M06L,def2-TZVP,1515.0,0.0,4.0,0.064136,615.53,7211.0,16.0,1256126.0,-3215.73147661,-3215.10851257,0.08250082,-3215.19101339,83.76,90.02,95.54,104.98
LEGWAW-S4,M06L,def2-TZVP,1549.0,0.0,4.0,0.015078,689.63,7175.1,16.0,419988.0,-4547.89062172,-4547.18836763,0.12301953,-4547.31138716,6.08,11.75,15.43,24.51
OZIMIV-S4,M06L,def2-TZVP,861.0,0.0,4.0,0.021051,387.25,2946.3,16.0,37841.0,-2545.53595156,-2545.23041611,0.0636051,-2545.29402121,92.76,114.36,116.41,121.6
PEBSEW-S4,M06L,def2-TZVP,1305.0,0.0,4.0,0.012665,551.4,3618.0,16.0,303831.0,-3099.9044019,-3099.40456521,0.10196155,-3099.50652677,10.37,11.74,25.48,26.6
PEBSOG-S4,M06L,def2-TZVP,1713.0,0.0,4.0,0.018843,705.57,3558.2,16.0,320258.0,-3594.20912772,-3593.56198817,0.11695677,-3593.67894494,7.52,17.96,26.13,27.18
PEBSUM-S4,M06L,def2-TZVP,1613.0,0.0,4.0,0.010786,653.58,7172.4,16.0,425422.0,-3369.86662132,-3369.19653443,0.116968,-3369.31350242,8.55,11.11,13.83,16.82
RIPSEO-S2,M06L,def2-TZVP,1327.0,0.0,4.0,0.026749,539.72,3609.5,16.0,854996.0,-3236.51104682,-3235.89347881,0.10374146,-3235.99722026,13.4,34.01,35.94,45.16
RIPSIS-S2,M06L,def2-TZVP,1179.0,0.0,4.0,0.022122,487.65,8929.7,32.0,283389.0,-3081.66210449,-3081.11793965,0.09595476,-3081.21389442,6.47,27.33,29.13,30.96
SAPBIV-S4,M06L,def2-TZVP,749.0,0.0,4.0,0.014355,366.11,2037.6,16.0,89638.0,-3063.25569686,-3062.97769898,0.0596831,-3063.03738208,70.87,103.64,122.83,130.12
SEQFIE-S4,M06L,def2-TZVP,613.0,0.0,4.0,0.017241,320.05,1198.7,16.0,53539.0,-2942.89842481,-2942.68562224,0.06508815,-2942.7507104,21.45,25.63,28.25,69.34
