Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Smallest log10(kcal mol-1) SCF Energy Diff
BIHGEE-S4,TPSSh,def2-TZVP,1489.0,0.0,4.0,0.010917,654.37,3288.1,16.0,831454.0,-4376.69458357,-4376.10444291,0.10949326,-4376.21393617,12.31,14.11,18.93,24.95,-5.701256637328881
BIHGII-S4,TPSSh,def2-TZVP,1511.0,0.0,4.0,0.011716,743.27,3382.1,16.0,952900.0,-8604.38280862,-8603.79285387,0.11080807,-8603.90366194,13.28,16.32,18.08,25.06,-5.060884116766813
BUQVOY-S2,TPSSh,def2-TZVP,1878.0,0.0,4.0,0.015128,871.33,3413.4,16.0,1772579.0,-4469.81928162,-4469.04417124,0.12610265,-4469.1702739,19.74,20.24,26.78,29.36,-4.979002290864778
CETBOV-S4,TPSSh,def2-TZVP,1647.0,0.0,4.0,0.011312,797.32,3275.5,16.0,1259418.0,-8795.22207657,-8794.58409247,0.11307286,-8794.69716533,19.3,23.3,26.1,26.84,-5.477766504792937
CETBUB-S4,TPSSh,def2-TZVP,1749.0,0.0,4.0,0.013369,753.7,3263.5,16.0,1885523.0,-4629.2712174,-4628.60983077,0.12139667,-4628.73122744,12.92,16.5,18.25,18.39,-5.713128176518179
CTPYCO01-S4,TPSSh,def2-TZVP,743.0,0.0,4.0,0.018164,363.1,3708.9,16.0,123030.0,-3046.23302858,-3045.98347564,0.06621098,-3046.04968663,30.87,44.29,54.11,69.91,-5.2505447882959455
DAHROU01-S4,TPSSh,def2-TZVP,849.0,0.0,4.0,0.004529,405.15,3742.9,16.0,175717.0,-2741.95063577,-2741.69455012,0.08078259,-2741.77533272,18.23,28.98,38.1,47.39,-5.314216190862756
FUFVUX02-S4,TPSSh,def2-TZVP,649.0,0.0,4.0,0.005894,322.1,3359.5,16.0,107055.0,-2913.41247538,-2913.13264335,0.07347873,-2913.20612208,22.75,24.08,26.98,33.92,-4.864133459524874
JAWJAT01-S4,TPSSh,def2-TZVP,1119.0,0.0,4.0,0.004797,471.36,3638.5,16.0,393232.0,-2797.25835608,-2796.79987974,0.09599734,-2796.89587708,11.52,13.49,15.36,23.4,-5.4728056239337075
JUWPIA10-S2,TPSSh,def2-TZVP,1263.0,0.0,4.0,0.006922,531.9,3535.9,16.0,906330.0,-3592.08933409,-3591.42904588,0.1178766,-3591.54692247,20.32,32.37,33.71,37.54,-5.46630222843184
KIQREL-S4,TPSSh,def2-TZVP,1290.0,0.0,4.0,0.010089,650.22,3394.4,16.0,558194.0,-7922.23814743,-7921.77828781,0.09720124,-7921.87548904,11.98,18.88,23.08,25.03,-5.2523579444103605
KIQRIP-S4,TPSSh,def2-TZVP,2045.0,0.0,4.0,0.013259,935.51,3301.9,16.0,2304660.0,-8816.09101232,-8815.40170715,0.12089175,-8815.5225989,10.59,22.14,27.19,29.81,-5.3717776556441255
KIQROV-S4,TPSSh,def2-TZVP,1515.0,0.0,4.0,0.014967,615.53,3389.5,16.0,852298.0,-3216.12013186,-3215.53641638,0.10759233,-3215.64400871,18.08,21.01,29.38,32.07,-5.0661629626196865
LEGWAW-S4,TPSSh,def2-TZVP,1549.0,0.0,4.0,0.006377,689.63,3187.2,16.0,676737.0,-4548.35107813,-4547.65422709,0.12658224,-4547.78080933,5.2,8.27,10.23,11.38,-4.144179647757313
OZIMIV-S4,TPSSh,def2-TZVP,861.0,0.0,4.0,0.005866,387.25,3742.7,16.0,190438.0,-2545.79928764,-2545.51511916,0.07732487,-2545.59244403,30.12,48.77,51.91,55.24,-5.106261564002511
PEBSEW-S4,TPSSh,def2-TZVP,1305.0,0.0,4.0,0.004442,551.4,3455.1,16.0,470294.0,-3100.26508079,-3099.76949421,0.10206802,-3099.87156224,12.13,19.64,24.74,26.2,-5.549329908077577
PEBSOG-S4,TPSSh,def2-TZVP,1713.0,0.0,4.0,0.005881,705.57,3112.9,16.0,1340039.0,-3594.6545191,-3594.01266164,0.12036877,-3594.13303042,6.75,13.56,16.9,18.94,-6.573338167028731
PEBSUM-S4,TPSSh,def2-TZVP,1613.0,0.0,4.0,0.004827,653.58,3428.8,16.0,1031721.0,-3370.29933761,-3369.63380398,0.11985774,-3369.75366173,8.02,9.04,9.98,13.46,-6.542880302957836
RIPSEO-S2,TPSSh,def2-TZVP,1327.0,0.0,4.0,0.008967,539.72,3388.2,16.0,908336.0,-3236.86470714,-3236.25239688,0.10742282,-3236.3598197,6.74,21.02,30.47,30.94,-4.627276584967064
RIPSIS-S2,TPSSh,def2-TZVP,1179.0,0.0,4.0,0.01911,487.65,3475.3,16.0,1150605.0,-3082.01313205,-3081.47314294,0.09668745,-3081.56983039,19.56,26.59,32.81,38.3,-5.028660735207958
SAPBIV-S4,TPSSh,def2-TZVP,749.0,0.0,4.0,0.006072,366.11,3677.6,16.0,140381.0,-3063.5158358,-3063.25409379,0.06914096,-3063.32323475,15.17,19.22,30.78,59.04,-4.642676436767821
SEQFIE-S4,TPSSh,def2-TZVP,613.0,0.0,4.0,0.006623,320.05,2640.3,16.0,85503.0,-2943.12278851,-2942.91116827,0.06488603,-2942.9760543,21.47,27.26,32.07,79.89,-5.132893322829101
TPORCP11-S2,TPSSh,def2-TZVP,1701.0,0.0,4.0,0.006778,671.63,3428.5,16.0,1067458.0,-3296.27753458,-3295.64679295,0.10223456,-3295.7490275,12.83,27.91,28.26,38.29,-5.942554024438874
TUBTIT-S2,TPSSh,def2-TZVP,704.0,0.0,4.0,0.008264,293.26,3738.2,16.0,136223.0,-2118.50661352,-2118.15072911,0.07634078,-2118.22706989,2.82,37.54,50.77,83.47,-5.431071735812873
UKUJUG-S4,TPSSh,def2-TZVP,1253.0,0.0,4.0,0.020248,483.54,3457.1,16.0,502569.0,-2657.7214457,-2657.10736303,0.09771636,-2657.20507939,12.29,18.56,23.11,26.44,-5.892561167518732
VIYGIU-S4,TPSSh,def2-TZVP,1181.0,0.0,4.0,0.005917,495.38,3463.2,16.0,598553.0,-2873.47572393,-2873.00063567,0.09566939,-2873.09630506,16.93,21.5,24.75,29.91,-5.199868162041649
XIZLUO04-S4,TPSSh,def2-TZVP,897.0,0.0,4.0,0.004378,447.32,3688.1,16.0,318273.0,-3432.29254894,-3431.97684764,0.08783357,-3432.06468121,13.69,35.18,41.48,41.86,-6.350377267043007
YUDGUA02-S4,TPSSh,def2-TZVP,1625.0,0.0,4.0,0.010546,708.42,3191.4,16.0,1096064.0,-4567.53313728,-4566.89491662,0.11157072,-4567.00648734,18.89,23.89,28.39,29.16,-5.9369445790785935
