Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CAMVER10-S3,B3LYP,def2-TZVP,855.0,0.0,1.0,382.32,3577.5,16.0,132655.0,-2965.85095562,-2965.32908387,0.09016565,-2965.41924952,21.31,25.77,55.14,76.77
CIDVOA01-S5,B3LYP,def2-TZVP,823.0,0.0,1.0,368.27,3340.0,16.0,302481.0,-2222.55011064,-2222.23662689,0.07931068,-2222.31593758,19.38,33.34,39.18,46.92
DUYZII-S5,B3LYP,def2-TZVP,1275.0,0.0,1.0,530.99,3135.0,16.0,421273.0,-3287.2235584,-3286.53946171,0.11757634,-3286.65703805,25.5,28.73,33.26,39.88
GENZII-S3,B3LYP,def2-TZVP,1095.0,0.0,1.0,489.32,3123.9,16.0,253687.0,-3142.21759519,-3141.82432873,0.08014066,-3141.9044694,21.3,36.43,43.47,47.07
HIZNEJ-S3,B3LYP,def2-TZVP,1189.0,0.0,1.0,434.65,3099.8,16.0,439728.0,-2138.71333555,-2138.005467,0.09679864,-2138.10226564,18.05,27.52,33.25,57.94
HUYWOO-S5,B3LYP,def2-TZVP,969.0,0.0,1.0,408.62,3233.7,16.0,215471.0,-2545.0089537,-2544.55330713,0.0857701,-2544.63907724,25.26,36.21,40.22,49.87
JARJOC-S5,B3LYP,def2-TZVP,2939.0,0.0,1.0,1079.64,15431.4,32.0,5214439.0,-4642.54442701,-4640.94431032,0.19481921,-4641.13912953,9.0,14.26,16.19,17.4
KAPPEW-S5,B3LYP,def2-TZVP,551.0,0.0,1.0,320.44,1291.5,16.0,12105.0,-3122.82695386,-3122.65925776,0.07064264,-3122.72990039,19.96,22.22,25.17,41.24
LESMAX-S3,B3LYP,def2-TZVP,501.0,0.0,1.0,210.23,1245.9,16.0,37651.0,-1509.94041519,-1509.70441359,0.05202755,-1509.75644113,28.8,75.21,84.08,114.08
OKIJUQ-S5,B3LYP,def2-TZVP,869.0,0.0,1.0,334.47,3574.9,16.0,320640.0,-1893.34384146,-1892.82848553,0.08520306,-1892.91368859,17.48,22.15,32.6,35.22
OWUTIL02-S3,B3LYP,def2-TZVP,1162.0,0.0,1.0,484.93,3095.6,16.0,339092.0,-2770.12815744,-2769.64743182,0.0879987,-2769.73543052,22.68,31.58,39.37,45.54
PIXXEE-S3,B3LYP,def2-TZVP,693.0,0.0,1.0,285.3,2468.6,16.0,231278.0,-1755.78192092,-1755.49395973,0.0541407,-1755.54810043,44.6,62.54,146.43,186.23
SEBQIB-S5,B3LYP,def2-TZVP,2423.0,0.0,1.0,877.23,14746.8,32.0,3316970.0,-3485.32806922,-3484.05216483,0.15665993,-3484.20882477,15.28,15.54,23.18,24.72
SOFXAM-S5,B3LYP,def2-TZVP,835.0,0.0,1.0,384.47,3435.1,16.0,266347.0,-2712.2442344,-2711.9241008,0.07787623,-2712.00197702,15.13,18.9,20.1,24.56
SOFXIU-S5,B3LYP,def2-TZVP,1229.0,2.0,1.0,484.58,3105.4,16.0,385505.0,-2415.50651587,-2414.92352224,0.08983174,-2415.01335397,17.84,20.86,21.14,31.56
UDURUJ-S5,B3LYP,def2-TZVP,1123.0,0.0,1.0,459.97,3160.8,16.0,423164.0,-2677.84330279,-2677.27572607,0.08870809,-2677.36443416,21.5,35.29,36.63,48.54
VAZWAU-S5,B3LYP,def2-TZVP,1201.0,0.0,1.0,718.26,3136.0,16.0,292860.0,-3796.0085923,-3795.31306365,0.11350574,-3795.42656939,15.18,29.65,40.65,48.24
YALPEG-S3,B3LYP,def2-TZVP,1289.0,0.0,1.0,478.66,3152.2,16.0,771918.0,-2288.70401196,-2288.01696901,0.10198645,-2288.11895545,13.0,34.46,45.41,49.98
