Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
CAMVER10-S3,M06L,def2-TZVP,855.0,0.0,1.0,382.32,3071.7,16.0,110976.0,-2966.42441667,-2965.89852066,0.08573472,-2965.98425538,32.84,47.12,64.49,80.04,
CIDVOA01-S5,M06L,def2-TZVP,823.0,0.0,1.0,368.27,1792.2,16.0,114069.0,-2223.03826305,-2222.7244552,0.07882098,-2222.80327618,14.45,29.95,35.04,36.6,
DUYZII-S5,M06L,def2-TZVP,1275.0,0.0,1.0,530.99,8271.5,16.0,129531.0,-3288.01300686,-3287.32527177,0.11462923,-3287.439901,34.66,37.03,42.0,46.11,
GENZII-S3,M06L,def2-TZVP,1095.0,0.0,1.0,489.32,3461.0,16.0,96253.0,-3142.94535694,-3142.55085059,0.07905655,-3142.62990714,22.42,37.19,48.22,53.89,
HIZNEJ-S3,M06L,def2-TZVP,1189.0,0.0,1.0,434.65,6700.7,16.0,198992.0,-2139.40857721,-2138.69615951,0.09410877,-2138.79026829,31.23,46.0,53.36,62.69,
HUYWOO-S5,M06L,def2-TZVP,969.0,0.0,1.0,408.62,3431.5,16.0,111278.0,-2545.60258715,-2545.14453564,0.08488791,-2545.22942355,10.0,43.05,45.91,52.16,
JARJOC-S5,M06L,def2-TZVP,2939.0,0.0,1.0,1079.64,36414.6,16.0,,,,,,,,,,Error termination in SCF RESPONSE
KAPPEW-S5,M06L,def2-TZVP,551.0,0.0,1.0,320.44,522.3,16.0,10820.0,-3123.23512736,-3123.0674352,0.07091021,-3123.13834541,18.37,20.71,23.73,27.52,
LESMAX-S3,M06L,def2-TZVP,501.0,0.0,1.0,210.23,571.3,16.0,19441.0,-1510.24384007,-1510.00741835,0.05161058,-1510.05902893,21.64,48.02,100.58,102.61,
OKIJUQ-S5,M06L,def2-TZVP,869.0,0.0,1.0,334.47,2969.2,16.0,133836.0,-1893.83212754,-1893.31167609,0.07970897,-1893.39138506,29.69,60.12,61.21,76.32,
OWUTIL02-S3,M06L,def2-TZVP,1162.0,0.0,1.0,484.93,5250.1,16.0,108023.0,-2770.86279396,-2770.37927109,0.088046,-2770.46731709,13.88,28.41,34.86,45.84,
PIXXEE-S3,M06L,def2-TZVP,693.0,0.0,1.0,285.3,1271.5,16.0,57840.0,-1756.23006374,-1755.94129126,0.0531923,-1755.99448355,57.43,70.22,151.14,196.0,
SEBQIB-S5,M06L,def2-TZVP,,,,877.23,,1.0,,,,,,,,,,Symmetry Error
SOFXAM-S5,M06L,def2-TZVP,835.0,0.0,1.0,384.47,1869.2,16.0,44260.0,-2712.74227921,-2712.42084013,0.07644237,-2712.4972825,16.34,25.06,26.65,26.8,
SOFXIU-S5,M06L,def2-TZVP,1229.0,2.0,1.0,484.58,6461.2,16.0,287610.0,-2416.18050732,-2415.59758744,0.08834919,-2415.68593663,13.23,20.81,21.94,38.46,
UDURUJ-S5,M06L,def2-TZVP,1123.0,0.0,1.0,459.97,5529.9,16.0,132684.0,-2678.50555119,-2677.93555363,0.08762808,-2678.02318171,23.58,33.18,42.76,55.0,
VAZWAU-S5,M06L,def2-TZVP,1201.0,0.0,1.0,718.26,6573.3,16.0,180816.0,-3797.0604967,-3796.36025848,0.10915579,-3796.46941427,31.73,40.59,45.64,55.44,
YALPEG-S3,M06L,def2-TZVP,1289.0,0.0,1.0,478.66,8439.0,16.0,261057.0,-2289.48674281,-2288.79315293,0.09746634,-2288.89061927,30.23,37.63,42.14,60.27,
