Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
CAMVER10-S3,PBE0,def2-TZVP,855.0,0.0,1.0,382.32,3586.8,16.0,334899.0,-2965.09293214,-2964.56934397,0.08966744,-2964.65901142,6.75,27.38,48.94,62.89,
CIDVOA01-S5,PBE0,def2-TZVP,823.0,0.0,1.0,368.27,3340.9,16.0,370390.0,-2221.69816696,-2221.38169032,0.07820813,-2221.45989845,20.08,33.62,40.09,48.06,
DUYZII-S5,PBE0,def2-TZVP,1275.0,0.0,1.0,530.99,3137.9,16.0,564660.0,-3286.13217748,-3285.44603892,0.11742047,-3285.5634594,23.55,28.98,35.31,40.47,
GENZII-S3,PBE0,def2-TZVP,1095.0,0.0,1.0,489.32,3125.3,16.0,265741.0,-3141.19600456,-3140.79995956,0.07954386,-3140.87950343,20.9,36.78,44.82,50.35,
HIZNEJ-S3,PBE0,def2-TZVP,1189.0,0.0,1.0,434.65,3102.2,16.0,482118.0,-2138.0069306,-2137.29601263,0.0960431,-2137.39205573,22.28,28.56,37.86,60.4,
HUYWOO-S5,PBE0,def2-TZVP,969.0,0.0,1.0,408.62,3234.5,16.0,216052.0,-2544.17436987,-2543.71660503,0.08553726,-2543.80214228,23.75,35.78,39.3,51.01,
JARJOC-S5,,,,,,,,,,,,,,,,,,.OUT File not found
KAPPEW-S5,PBE0,def2-TZVP,551.0,0.0,1.0,320.44,1291.8,16.0,87493.0,-3122.01786213,-3121.84867642,0.07013869,-3121.91881511,19.91,22.44,25.08,41.39,
LESMAX-S3,PBE0,def2-TZVP,501.0,0.0,1.0,210.23,1187.0,16.0,47868.0,-1509.55515867,-1509.31774254,0.05144523,-1509.36918778,31.9,77.28,92.73,121.79,
OKIJUQ-S5,PBE0,def2-TZVP,869.0,0.0,1.0,334.47,3575.5,16.0,483415.0,-1892.72633665,-1892.20876411,0.08417677,-1892.29294087,26.68,30.68,41.73,44.96,
OWUTIL02-S3,PBE0,def2-TZVP,1162.0,0.0,1.0,484.93,3084.4,16.0,449382.0,-2769.18656932,-2768.70251053,0.08732749,-2768.78983802,24.82,32.35,39.48,47.22,
PIXXEE-S3,PBE0,def2-TZVP,693.0,0.0,1.0,285.3,2465.8,16.0,149534.0,-1755.27021753,-1754.98014397,0.05340729,-1755.03355127,49.73,67.16,150.73,190.29,
SEBQIB-S5,PBE0,def2-TZVP,,,,877.23,,1.0,,,,,,,,,,Symmetry Error
SOFXAM-S5,PBE0,def2-TZVP,835.0,0.0,1.0,384.47,3436.5,16.0,175769.0,-2711.39975459,-2711.07729489,0.07757521,-2711.1548701,14.74,18.1,20.18,23.64,
SOFXIU-S5,PBE0,def2-TZVP,1229.0,2.0,1.0,484.58,3108.4,16.0,388280.0,-2414.59133176,-2414.00446888,0.08905614,-2414.09352502,17.59,20.81,22.14,32.47,
UDURUJ-S5,PBE0,def2-TZVP,1123.0,0.0,1.0,459.97,3162.6,16.0,512835.0,-2676.96475629,-2676.39403318,0.08835191,-2676.48238508,21.45,36.35,37.42,50.1,
VAZWAU-S5,PBE0,def2-TZVP,1201.0,0.0,1.0,718.26,3139.5,16.0,344972.0,-3795.16883662,-3794.47107755,0.1114705,-3794.58254805,21.77,26.88,43.25,48.47,
YALPEG-S3,PBE0,def2-TZVP,1289.0,0.0,1.0,478.66,3071.9,16.0,759270.0,-2287.91617816,-2287.22602695,0.10091388,-2287.32694083,16.28,40.79,49.95,50.44,
