Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CAMVER10-S3,TPSSh,def2-TZVP,855.0,0.0,1.0,382.32,3586.8,16.0,249510.0,-2966.68975918,-2966.16862393,0.08834078,-2966.25696471,33.77,37.87,46.25,69.84
CIDVOA01-S5,TPSSh,def2-TZVP,823.0,0.0,1.0,368.27,3341.2,16.0,324281.0,-2223.28157629,-2222.96950446,0.07881191,-2223.04831637,19.67,33.24,39.77,49.69
DUYZII-S5,TPSSh,def2-TZVP,1275.0,0.0,1.0,530.99,3137.9,16.0,536463.0,-3288.344569,-3287.66181395,0.11818959,-3287.78000354,26.11,29.16,36.12,41.04
GENZII-S3,TPSSh,def2-TZVP,1095.0,0.0,1.0,489.32,3124.8,16.0,270096.0,-3143.25847167,-3142.86614917,0.07983652,-3142.94598569,21.14,36.58,42.8,47.7
HIZNEJ-S3,TPSSh,def2-TZVP,1189.0,0.0,1.0,434.65,3080.1,16.0,733963.0,-2139.69277651,-2138.98625141,0.09802226,-2139.08427367,17.3,25.95,30.9,51.72
HUYWOO-S5,TPSSh,def2-TZVP,969.0,0.0,1.0,408.62,3234.5,16.0,230424.0,-2545.88046284,-2545.42551596,0.08591366,-2545.51142962,22.17,37.53,41.38,49.86
JARJOC-S5,TPSSh,def2-TZVP,2939.0,0.0,1.0,1079.64,15440.2,32.0,3856094.0,-4644.91712564,-4643.32090419,0.19631714,-4643.51722133,9.64,12.17,12.29,16.8
KAPPEW-S5,TPSSh,def2-TZVP,551.0,0.0,1.0,320.44,1291.7,16.0,48986.0,-3123.46181561,-3123.29487952,0.07048121,-3123.36536073,20.96,22.25,26.14,42.59
LESMAX-S3,TPSSh,def2-TZVP,501.0,0.0,1.0,210.23,1182.1,16.0,47327.0,-1510.41340713,-1510.17776649,0.05174512,-1510.22951161,31.54,75.73,88.88,111.74
OKIJUQ-S5,TPSSh,def2-TZVP,869.0,0.0,1.0,334.47,3575.8,16.0,183521.0,-1894.06440593,-1893.54864152,0.08317762,-1893.63181914,16.15,44.6,57.66,61.45
OWUTIL02-S3,TPSSh,def2-TZVP,1162.0,0.0,1.0,484.93,3083.2,16.0,384591.0,-2771.17295271,-2770.69304756,0.08832756,-2770.78137512,22.64,30.12,38.63,48.11
PIXXEE-S3,TPSSh,def2-TZVP,693.0,0.0,1.0,285.3,2465.5,16.0,186267.0,-1756.43190855,-1756.14458818,0.05349273,-1756.19808091,58.1,69.25,148.69,192.2
SEBQIB-S5,TPSSh,def2-TZVP,2423.0,0.0,1.0,877.23,14753.6,32.0,3162712.0,-3487.2740534,-3486.00163,0.15578645,-3486.15741645,12.56,18.37,21.78,26.73
SOFXAM-S5,TPSSh,def2-TZVP,835.0,0.0,1.0,384.47,3436.1,16.0,297349.0,-2713.02623797,-2712.70714436,0.07788419,-2712.78502855,14.83,18.32,20.22,24.37
SOFXIU-S5,TPSSh,def2-TZVP,1229.0,2.0,1.0,484.58,3107.0,16.0,400507.0,-2416.51934096,-2415.93822955,0.08982536,-2416.02805491,16.61,20.73,21.63,31.25
UDURUJ-S5,TPSSh,def2-TZVP,1123.0,0.0,1.0,459.97,3162.4,16.0,565940.0,-2678.83015371,-2678.26409076,0.08954606,-2678.35363683,21.2,35.28,37.79,48.37
VAZWAU-S5,TPSSh,def2-TZVP,1201.0,0.0,1.0,718.26,3139.4,16.0,387340.0,-3796.85199544,-3796.15795604,0.11300348,-3796.27095951,21.25,25.38,41.04,48.25
YALPEG-S3,TPSSh,def2-TZVP,1289.0,0.0,1.0,478.66,3086.3,16.0,671793.0,-2289.77973495,-2289.09389059,0.10233106,-2289.19622166,11.58,36.57,39.83,48.36
