Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code,Smallest log10(kcal mol-1) SCF Energy Diff
CAMVER10-S3,PBE0,def2-TZVP,855.0,0.0,3.0,0.079564,382.32,3527.9,16.0,192218.0,-2965.14062921,-2964.61726517,0.08996368,-2964.70722884,26.89,38.46,54.02,72.46,,-5.756021459846477
CIDVOA01-S5,PBE0,def2-TZVP,823.0,0.0,3.0,0.567126,368.27,3740.9,16.0,457925.0,-2221.7663204,-2221.45147038,0.07805207,-2221.52952245,20.19,29.85,41.96,49.28,,-5.474797973194841
DUYZII-S5,PBE0,def2-TZVP,1275.0,0.0,3.0,1.007731,530.99,3384.2,16.0,842417.0,-3286.20445069,-3285.5183992,0.11872285,-3285.63712205,22.7,29.97,35.61,36.81,,-5.734919657049913
GENZII-S3,PBE0,def2-TZVP,1095.0,0.0,3.0,0.854503,489.32,3515.7,16.0,382542.0,-3141.26533706,-3140.87066,0.08156266,-3140.95222266,24.3,35.46,39.81,55.15,,-5.573616650194351
HIZNEJ-S3,PBE0,def2-TZVP,1189.0,0.0,3.0,0.03861,434.65,3372.9,16.0,694052.0,-2138.04886881,-2137.3383958,0.09694981,-2137.43534562,25.69,30.53,41.49,61.88,,-4.196114445482999
HUYWOO-S5,PBE0,def2-TZVP,969.0,0.0,3.0,1.864125,408.62,3477.8,16.0,312314.0,-2544.23727554,-2543.78103446,0.08822673,-2543.86926119,23.61,29.32,35.08,38.23,,-5.003184554364214
JARJOC-S5,,,,,,,,,,,,,,,,,,,.OUT File not found,
KAPPEW-S5,PBE0,def2-TZVP,551.0,0.0,3.0,1.011009,320.44,1950.7,16.0,55173.0,-3122.0653616,-3121.89609836,0.0726155,-3121.96871387,8.48,25.61,29.09,30.4,,-5.239090682555581
LESMAX-S3,PBE0,def2-TZVP,501.0,0.0,3.0,0.038236,210.23,1837.5,16.0,58136.0,-1509.59897035,-1509.36216199,0.05245964,-1509.41462163,32.49,77.02,87.38,126.55,,-4.752355436910064
OKIJUQ-S5,PBE0,def2-TZVP,869.0,0.0,3.0,0.992862,334.47,3516.3,16.0,583849.0,-1892.78728744,-1892.26910474,0.08462113,-1892.35372588,26.12,34.41,50.19,54.31,,-6.180626186018345
OWUTIL02-S3,PBE0,def2-TZVP,1162.0,0.0,3.0,1.024383,484.93,3550.6,16.0,556129.0,-2769.27329568,-2768.78944756,0.09020651,-2768.87965407,18.62,28.02,38.94,42.16,,-5.1885881585737135
PIXXEE-S3,PBE0,def2-TZVP,693.0,0.0,3.0,0.046062,285.3,3489.0,16.0,97442.0,-1755.29204236,-1755.0030308,0.05659489,-1755.05962569,24.55,43.09,114.56,164.03,,-5.453193286774785
SEBQIB-S5,PBE0,def2-TZVP,,,,,877.23,,1.0,,,,,,,,,,,
SOFXAM-S5,PBE0,def2-TZVP,835.0,0.0,3.0,1.008124,384.47,3741.3,16.0,291861.0,-2711.46029373,-2711.13751865,0.07849549,-2711.21601414,13.48,19.1,19.36,25.26,,-5.080930015983279
SOFXIU-S5,PBE0,def2-TZVP,1229.0,2.0,3.0,0.310169,484.58,3541.6,16.0,947650.0,-2414.6460991,-2414.05960786,0.09037799,-2414.14998585,18.99,22.51,24.04,34.64,,-6.144248742416898
UDURUJ-S5,PBE0,def2-TZVP,1123.0,0.0,3.0,1.006863,459.97,3528.9,16.0,537361.0,-2677.02388747,-2676.45325836,0.0894987,-2676.54275706,21.63,31.91,44.12,48.79,,-4.2450544218328545
VAZWAU-S5,PBE0,def2-TZVP,1201.0,0.0,3.0,0.069406,718.26,3496.7,16.0,713406.0,-3795.21845548,-3794.52081159,0.11293357,-3794.63374516,17.66,34.84,45.67,50.25,,-6.668396175175194
YALPEG-S3,PBE0,def2-TZVP,1289.0,0.0,3.0,0.076047,478.66,3461.0,16.0,998833.0,-2287.95299812,-2287.26329222,0.10209321,-2287.36538542,19.12,39.87,42.67,46.03,,-3.695204430527701
