Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code,Smallest log10(kcal mol-1) SCF Energy Diff
CAMVER10-S3,TPSSh,def2-TZVP,855.0,0.0,3.0,0.049856,382.32,3527.3,16.0,222169.0,-2966.72889778,-2966.20793423,0.09147623,-2966.29941046,22.9,36.39,50.85,70.16,,-4.681612533458626
CIDVOA01-S5,TPSSh,def2-TZVP,823.0,0.0,3.0,0.4563,368.27,3740.4,16.0,446272.0,-2223.33991688,-2223.02895445,0.07835072,-2223.10730517,20.24,28.85,40.81,46.9,,-5.453862326121934
DUYZII-S5,TPSSh,def2-TZVP,1275.0,0.0,3.0,1.003106,530.99,3383.7,16.0,949875.0,-3288.40605126,-3287.72322845,0.11980949,-3287.84303793,24.05,29.72,35.81,36.86,,-4.526829662670158
GENZII-S3,TPSSh,def2-TZVP,1095.0,0.0,3.0,0.707822,489.32,3514.7,16.0,359756.0,-3143.30456196,-3142.9132492,0.08194998,-3142.99519918,24.04,35.05,38.08,54.12,,-5.340439749693317
HIZNEJ-S3,TPSSh,def2-TZVP,1189.0,0.0,3.0,0.02612,434.65,3372.6,16.0,785696.0,-2139.73061366,-2139.0245898,0.09886528,-2139.12345508,21.42,28.38,36.16,54.52,,-4.196846998077352
HUYWOO-S5,TPSSh,def2-TZVP,969.0,0.0,3.0,1.6566,408.62,3478.4,16.0,397650.0,-2545.92173425,-2545.46813034,0.08883966,-2545.55697,24.44,27.85,30.83,34.98,,-4.63220063539388
JARJOC-S5,TPSSh,def2-TZVP,2939.0,0.0,3.0,0.799701,1079.64,16134.0,32.0,,,,,,,,,,"Unknown Error, probably timeout",-4.900451256401571
KAPPEW-S5,TPSSh,def2-TZVP,551.0,0.0,3.0,1.009193,320.44,1943.6,16.0,57852.0,-3123.49644259,-3123.32924423,0.07370626,-3123.40295049,5.58,19.6,26.07,30.74,,-5.709684919306261
LESMAX-S3,TPSSh,def2-TZVP,501.0,0.0,3.0,0.024901,210.23,1831.1,16.0,66674.0,-1510.45324416,-1510.21824814,0.05267066,-1510.2709188,33.06,77.11,85.25,129.82,,-6.015568845001067
OKIJUQ-S5,TPSSh,def2-TZVP,869.0,0.0,3.0,0.988009,334.47,3516.0,16.0,482042.0,-1894.11682249,-1893.60184278,0.08618931,-1893.68803209,19.45,30.83,48.03,50.64,,-6.562342782727268
OWUTIL02-S3,TPSSh,def2-TZVP,1162.0,0.0,3.0,0.890123,484.93,3549.8,16.0,567344.0,-2771.23845762,-2770.75857792,0.0908785,-2770.84945642,16.65,23.45,37.72,40.79,,-5.6686272443383485
PIXXEE-S3,TPSSh,def2-TZVP,693.0,0.0,3.0,0.030875,285.3,3488.7,16.0,123675.0,-1756.44055074,-1756.15423411,0.05701905,-1756.21125316,21.16,40.95,109.82,160.65,,-4.74641930807012
SEBQIB-S5,TPSSh,def2-TZVP,,,,,877.23,,1.0,,,,,,,,,,,
SOFXAM-S5,TPSSh,def2-TZVP,835.0,0.0,3.0,1.006605,384.47,3741.1,16.0,263009.0,-2713.07490442,-2712.75538612,0.07920127,-2712.83458739,11.98,17.03,17.26,25.24,,-5.355854222814825
SOFXIU-S5,TPSSh,def2-TZVP,1229.0,2.0,3.0,0.011913,484.58,3541.4,16.0,870422.0,-2416.56729036,-2415.98608626,0.0901299,-2416.07621616,19.11,22.59,23.16,33.56,,-4.818490186137413
UDURUJ-S5,TPSSh,def2-TZVP,1123.0,0.0,3.0,1.005412,459.97,3528.6,16.0,646301.0,-2678.87859086,-2678.31248984,0.09085487,-2678.40334471,20.18,30.53,41.99,47.72,,-5.50078036163369
VAZWAU-S5,TPSSh,def2-TZVP,1201.0,0.0,3.0,0.048564,718.26,3480.4,16.0,682323.0,-3796.89492556,-3796.20105938,0.11409446,-3796.31515384,20.98,38.07,45.64,50.43,,-5.282068008653907
YALPEG-S3,TPSSh,def2-TZVP,1289.0,0.0,3.0,0.046402,478.66,3459.9,16.0,1199562.0,-2289.81143994,-2289.12596702,0.1031641,-2289.22913112,15.17,37.68,40.88,46.98,,-4.4513534697384465
