Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code,Smallest log10(kcal mol-1) SCF Energy Diff
CAMVER10-S3,B3LYP,def2-TZVP,855.0,0.0,5.0,0.039721,382.32,3525.0,16.0,434448.0,-2965.89056915,-2965.37004508,0.09765813,-2965.46770321,16.67,18.18,24.52,34.65,,-6.308076754278143
CIDVOA01-S5,B3LYP,def2-TZVP,823.0,0.0,5.0,0.009726,368.27,5929.6,16.0,52458.0,-2222.65954553,-2222.34608193,0.08105202,-2222.42713395,10.63,18.98,20.33,31.45,,-5.2357509274015355
DUYZII-S5,B3LYP,def2-TZVP,1275.0,0.0,5.0,0.017521,530.99,3381.7,16.0,513808.0,-3287.32927128,-3286.64525317,0.11942023,-3286.7646734,23.69,29.97,35.14,36.18,,-4.727233773108944
GENZII-S3,B3LYP,def2-TZVP,1095.0,0.0,5.0,0.040178,489.32,3513.5,16.0,368549.0,-3142.26781948,-3141.87629142,0.08297884,-3141.95927026,22.5,36.12,38.3,46.67,,-5.5972783398180965
HIZNEJ-S3,B3LYP,def2-TZVP,1189.0,0.0,5.0,0.048293,434.65,3365.7,16.0,705185.0,-2138.74704891,-2138.04085601,0.10071772,-2138.14157373,20.35,25.81,34.47,42.26,,-3.92768501389804
HUYWOO-S5,B3LYP,def2-TZVP,969.0,0.0,5.0,0.016378,408.62,3476.6,16.0,230974.0,-2545.09936391,-2544.6434084,0.08830093,-2544.73170933,25.37,28.89,35.67,35.96,,-4.822128173412411
JARJOC-S5,B3LYP,def2-TZVP,2939.0,0.0,5.0,0.047854,1079.64,36300.6,16.0,,,,,,,,,,"Unknown Error, probably timeout",-3.9649264317004356
KAPPEW-S5,B3LYP,def2-TZVP,551.0,0.0,5.0,0.022399,320.44,1943.8,16.0,42073.0,-3122.90807183,-3122.74023461,0.0738136,-3122.81404821,7.62,24.85,29.01,29.8,,-5.392999043750824
LESMAX-S3,B3LYP,def2-TZVP,501.0,0.0,5.0,0.045077,210.23,1829.5,16.0,59698.0,-1509.97121665,-1509.73701644,0.05739265,-1509.79440909,7.66,39.17,55.63,77.69,,-5.466810217690748
OKIJUQ-S5,B3LYP,def2-TZVP,869.0,0.0,5.0,0.015252,334.47,3622.4,16.0,276173.0,-1893.43639396,-1892.92050032,0.08559029,-1893.00609061,24.24,37.02,50.8,51.61,,-6.214606314894077
OWUTIL02-S3,B3LYP,def2-TZVP,1162.0,0.0,5.0,0.073005,484.93,3549.2,16.0,505580.0,-2770.20435867,-2769.72377126,0.09098079,-2769.81475205,18.18,34.0,39.8,43.2,,-5.024786021991118
PIXXEE-S3,B3LYP,def2-TZVP,693.0,0.0,5.0,0.038368,285.3,3487.5,16.0,135760.0,-1755.8084441,-1755.52219515,0.06015283,-1755.58234797,26.0,30.09,72.38,130.74,,-4.866724316264002
SEBQIB-S5,B3LYP,def2-TZVP,2423.0,0.0,5.0,0.019008,877.23,8996.6,64.0,10493571.0,-3485.4086321,-3484.13376603,0.15918238,-3484.29294841,16.1,23.45,23.91,25.38,,-4.474812765493142
SOFXAM-S5,B3LYP,def2-TZVP,835.0,0.0,5.0,0.017672,384.47,3739.7,16.0,182814.0,-2712.33674557,-2712.01627528,0.07968151,-2712.09595679,12.26,17.29,18.28,23.21,,-5.4384231185034215
SOFXIU-S5,B3LYP,def2-TZVP,1229.0,2.0,5.0,0.013454,484.58,3533.9,16.0,469581.0,-2415.58734981,-2415.00549027,0.09417508,-2415.09966534,15.1,17.82,19.69,27.2,,-4.295777925388724
UDURUJ-S5,B3LYP,def2-TZVP,1123.0,0.0,5.0,0.015577,459.97,3526.9,16.0,349956.0,-2677.93468633,-2677.3671043,0.09042149,-2677.45752579,21.97,31.54,43.71,48.42,,-4.6436682134978975
VAZWAU-S5,B3LYP,def2-TZVP,1201.0,0.0,5.0,0.037624,718.26,3474.3,16.0,487989.0,-3796.06553735,-3795.37023719,0.11792721,-3795.4881644,20.31,33.49,36.85,40.79,,-5.284829070233766
YALPEG-S3,B3LYP,def2-TZVP,1289.0,0.0,5.0,0.073514,478.66,3451.7,16.0,932243.0,-2288.74724225,-2288.06100609,0.10634487,-2288.16735096,17.28,19.74,26.47,33.54,,-6.106546565313343
