Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Smallest log10(kcal mol-1) SCF Energy Diff
CAMVER10-S3,M06L,def2-TZVP,855.0,0.0,5.0,0.060348,382.32,3622.2,16.0,200566.0,-2966.44666826,-2965.92195619,0.09492061,-2966.01687681,28.19,32.94,50.49,57.09,-7.230746795397683
CIDVOA01-S5,M06L,def2-TZVP,823.0,0.0,5.0,0.020074,368.27,2867.2,16.0,102191.0,-2223.12940485,-2222.81545172,0.07969752,-2222.89514924,21.46,25.32,29.95,41.28,-6.37493958170803
DUYZII-S5,M06L,def2-TZVP,1275.0,0.0,5.0,0.033482,530.99,3598.1,16.0,221940.0,-3288.12168847,-3287.43375464,0.11788288,-3287.55163752,33.9,35.1,40.93,47.06,-4.9584769905360435
GENZII-S3,M06L,def2-TZVP,1095.0,0.0,5.0,0.053316,489.32,3612.8,16.0,115968.0,-3142.98233398,-3142.58949323,0.08223251,-3142.67172574,25.47,37.08,39.13,63.61,-4.767941882548155
HIZNEJ-S3,M06L,def2-TZVP,1189.0,0.0,5.0,0.073046,434.65,3625.4,16.0,233410.0,-2139.44247882,-2138.73146315,0.09943488,-2138.83089803,14.27,29.47,33.1,43.49,-4.88006605352029
HUYWOO-S5,M06L,def2-TZVP,969.0,0.0,5.0,0.028581,408.62,3620.6,16.0,110812.0,-2545.68797433,-2545.22940656,0.08774271,-2545.31714927,30.44,35.75,38.04,47.2,-6.007046758614162
JARJOC-S5,M06L,def2-TZVP,2939.0,0.0,5.0,0.080044,1079.64,7142.9,16.0,2027282.0,-4644.3702361,-4642.6817681,0.14459828,-4642.82636638,65.67,68.16,76.85,89.88,-3.319991876248962
KAPPEW-S5,M06L,def2-TZVP,551.0,0.0,5.0,0.030986,320.44,840.3,16.0,21551.0,-3123.32683179,-3123.15831547,0.07433441,-3123.23264988,6.84,19.43,20.2,23.55,-5.543139919075104
LESMAX-S3,M06L,def2-TZVP,501.0,0.0,5.0,0.061286,210.23,889.4,16.0,125984.0,-1510.27746064,-1510.02985421,0.04771367,-1510.07756788,152.88,163.36,199.39,210.38,-4.960017093516677
OKIJUQ-S5,M06L,def2-TZVP,869.0,0.0,5.0,0.027681,334.47,3620.3,16.0,290424.0,-1893.93175372,-1893.41227922,0.08467388,-1893.4969531,28.63,42.46,47.68,49.17,-7.687281519335568
OWUTIL02-S3,M06L,def2-TZVP,1162.0,0.0,5.0,0.088521,484.93,3619.8,16.0,235939.0,-2770.93411536,-2770.45042096,0.09052491,-2770.54094587,15.47,31.5,38.02,46.97,-4.76639038900074
PIXXEE-S3,M06L,def2-TZVP,693.0,0.0,5.0,0.056079,285.3,1895.6,16.0,87280.0,-1756.22783661,-1755.9406198,0.05989578,-1756.00051558,23.64,29.53,75.02,132.49,-6.250368299628718
SEBQIB-S5,M06L,def2-TZVP,2423.0,0.0,5.0,0.037937,877.23,7246.2,16.0,1356418.0,-3486.81170773,-3485.52794461,0.15174465,-3485.67968925,17.45,30.76,31.22,35.33,-5.990246014776749
SOFXAM-S5,M06L,def2-TZVP,835.0,0.0,5.0,0.025832,384.47,2920.3,16.0,101522.0,-2712.86867036,-2712.54647224,0.07916633,-2712.62563857,11.32,13.92,19.37,22.61,-5.580354385569987
SOFXIU-S5,M06L,def2-TZVP,1229.0,2.0,5.0,0.026056,484.58,3612.1,16.0,207197.0,-2416.28084989,-2415.69726717,0.09255942,-2415.78982659,16.49,21.37,26.85,34.43,-4.399417609652654
UDURUJ-S5,M06L,def2-TZVP,1123.0,0.0,5.0,0.02657,459.97,3600.0,16.0,162000.0,-2678.62821516,-2678.05757904,0.08919477,-2678.1467738,22.41,30.2,45.33,54.97,-5.206675797182636
VAZWAU-S5,M06L,def2-TZVP,1201.0,0.0,5.0,0.056981,718.26,3625.3,16.0,191246.0,-3797.10928956,-3796.40921702,0.11518026,-3796.52439729,29.57,30.82,38.24,45.17,-5.429602944466383
YALPEG-S3,M06L,def2-TZVP,1289.0,0.0,5.0,0.090479,478.66,3613.3,16.0,414533.0,-2289.52780519,-2288.83670697,0.1027351,-2288.93944207,16.41,30.26,45.77,50.97,-5.444519300751847
