Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,B3LYP,def2-TZVP,971.0,0.0,1.0,450.33,3219.7,16.0,302745.0,-3200.33479098,-3199.97412374,0.09160738,-3200.06573112,14.84,19.65,21.41,21.63
CAGROU-S1,B3LYP,def2-TZVP,1615.0,0.0,1.0,652.48,3079.1,16.0,521227.0,-3204.79799084,-3204.22639236,0.09481175,-3204.32120411,17.35,18.39,18.75,31.71
DAGLUU01-S5,B3LYP,def2-TZVP,687.0,0.0,1.0,335.01,2296.2,16.0,73279.0,-2834.17763928,-2833.92887239,0.06260669,-2833.99147908,40.31,56.15,71.96,86.45
DEDWUE-S3,B3LYP,def2-TZVP,1549.0,0.0,1.0,588.6,3181.1,16.0,612176.0,-2880.6306722,-2879.86430571,0.10917464,-2879.97348035,18.32,24.43,42.64,45.37
FEGVOE01-S5,B3LYP,def2-TZVP,1423.0,0.0,1.0,552.77,3051.0,16.0,637912.0,-3126.27964353,-3125.48201001,0.11922803,-3125.60123805,19.06,19.66,24.95,28.91
FEPHCY03-S3,B3LYP,def2-TZVP,1381.0,0.0,1.0,568.38,3172.4,16.0,259566.0,-2930.4619093,-2930.01929708,0.08096328,-2930.10026036,19.91,40.02,53.24,65.09
FEROCE87-S1,B3LYP,def2-TZVP,415.0,0.0,1.0,186.03,739.7,16.0,58623.0,-1650.62927561,-1650.45076934,0.04315679,-1650.49392613,36.63,161.21,161.31,285.2
GORKIJ-S5,B3LYP,def2-TZVP,1511.0,0.0,1.0,574.21,3102.7,16.0,704383.0,-2846.85701311,-2846.07160753,0.10653425,-2846.17814178,27.4,38.68,39.39,45.39
HAZQAD-S1,B3LYP,def2-TZVP,1647.0,0.0,1.0,626.67,3225.1,16.0,928394.0,-3026.96065956,-3026.12332741,0.1267798,-3026.25010721,3.05,6.12,8.24,12.77
HMPBFE-S5,B3LYP,def2-TZVP,1673.0,0.0,1.0,650.24,3011.6,16.0,931328.0,-3139.88134205,-3139.09968076,0.11891838,-3139.21859914,29.87,35.73,35.8,42.23
IBUVUW02-S5,B3LYP,def2-TZVP,1591.0,0.0,1.0,664.47,3298.3,16.0,517755.0,-3327.77524582,-3327.2519543,0.1118397,-3327.36379399,5.72,5.86,10.65,11.64
IKIJIX-S5,B3LYP,def2-TZVP,1559.0,0.0,1.0,716.35,3096.6,16.0,695881.0,-7916.83712136,-7916.12335331,0.10984711,-7916.23320042,11.92,19.46,38.97,40.12
JIRSUB-S3,B3LYP,def2-TZVP,1706.0,0.0,1.0,651.68,3101.3,16.0,1000080.0,-3486.54807982,-3485.57382776,0.12275507,-3485.69658283,13.07,32.14,33.35,35.35
OCAHAE-S5,B3LYP,def2-TZVP,1108.0,0.0,1.0,475.24,3135.7,16.0,249435.0,-2727.6202557,-2727.23221352,0.08132154,-2727.31353506,20.52,21.53,28.63,40.45
OCAHEI-S5,B3LYP,def2-TZVP,1355.0,0.0,1.0,562.35,3200.7,16.0,595646.0,-2980.77681485,-2980.2851956,0.09458115,-2980.37977675,9.1,16.73,21.95,23.88
POGXUG-S5,B3LYP,def2-TZVP,1105.0,0.0,1.0,620.28,3133.2,16.0,252125.0,-7995.14383721,-7994.80556049,0.0880109,-7994.89357138,14.86,14.91,17.15,18.17
QAHVIE10-S5,B3LYP,def2-TZVP,1479.0,0.0,1.0,648.55,3173.0,16.0,415340.0,-3828.98565504,-3828.49088185,0.10364726,-3828.59452911,10.08,11.21,15.05,18.45
QOPBIH-S5,B3LYP,def2-TZVP,1069.0,0.0,1.0,446.28,3142.2,16.0,295603.0,-2602.12919588,-2601.65847531,0.09128048,-2601.74975579,13.89,29.82,33.26,34.32
RUWZUF-S5,B3LYP,def2-TZVP,1155.0,0.0,1.0,450.39,3138.1,16.0,353772.0,-2457.83913163,-2457.30503611,0.08968003,-2457.39471613,25.47,26.96,31.77,32.61
SAKWIM-S5,B3LYP,def2-TZVP,1636.0,0.0,1.0,657.05,3085.1,16.0,923060.0,-4056.88731275,-4055.88882634,0.13494064,-4056.02376699,10.61,22.83,38.07,40.4
SUVROS-S5,B3LYP,def2-TZVP,815.0,0.0,1.0,393.16,3478.3,16.0,80601.0,-3313.47897319,-3313.10139349,0.07358558,-3313.17497908,12.9,20.15,24.86,33.76
YIMHOT-S5,B3LYP,def2-TZVP,1850.0,0.0,1.0,682.78,3182.0,16.0,1409248.0,-3122.21857228,-3121.25237823,0.13064304,-3121.38302127,13.38,18.62,20.78,25.51
YUMVUX10-S5,B3LYP,def2-TZVP,1263.0,0.0,1.0,528.82,3083.9,16.0,649345.0,-3471.88053692,-3471.21868172,0.11113893,-3471.32982065,30.62,45.23,49.23,57.05
