Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,M06L,def2-TZVP,971.0,0.0,1.0,450.33,2860.1,16.0,170024.0,-3200.95229731,-3200.56929307,0.07224009,-3200.64153317,74.74,90.32,94.81,108.28
CAGROU-S1,M06L,def2-TZVP,1615.0,0.0,1.0,652.48,11436.7,16.0,646025.0,-3205.75826449,-3205.18388042,0.09432061,-3205.27820103,16.8,18.26,20.44,32.04
DAGLUU01-S5,M06L,def2-TZVP,687.0,0.0,1.0,335.01,1107.4,16.0,27961.0,-2834.63330121,-2834.38346355,0.06274197,-2834.44620552,29.63,55.27,70.2,85.58
DEDWUE-S3,M06L,def2-TZVP,1549.0,0.0,1.0,588.6,11536.5,16.0,227572.0,-2881.52061586,-2880.7485073,0.10810861,-2880.85661591,19.77,27.77,42.68,49.56
FEGVOE01-S5,M06L,def2-TZVP,1423.0,0.0,1.0,552.77,11317.7,16.0,172373.0,-3127.11495453,-3126.31071393,0.114185,-3126.42489893,6.48,23.97,33.13,37.97
FEPHCY03-S3,M06L,def2-TZVP,1381.0,0.0,1.0,568.38,6901.0,16.0,149902.0,-2931.28337716,-2930.83846754,0.08083215,-2930.9192997,20.25,40.78,56.06,68.3
FEROCE87-S1,M06L,def2-TZVP,415.0,0.0,1.0,186.03,354.6,16.0,23507.0,-1650.90352501,-1650.72488439,0.04244622,-1650.76733061,52.11,169.51,170.0,321.98
GORKIJ-S5,M06L,def2-TZVP,1511.0,0.0,1.0,574.21,11439.2,16.0,176146.0,-2847.75407945,-2846.96543354,0.10505889,-2847.07049243,29.13,33.71,38.89,40.81
HAZQAD-S1,M06L,def2-TZVP,1647.0,0.0,1.0,626.67,15440.9,32.0,935510.0,-3027.91212229,-3027.06956047,0.12320251,-3027.19276298,5.74,13.95,15.66,21.57
HMPBFE-S5,M06L,def2-TZVP,1673.0,0.0,1.0,650.24,16016.0,32.0,2844353.0,-3140.90163184,-3140.11579682,0.11621158,-3140.2320084,13.74,27.62,42.93,44.36
IBUVUW02-S5,M06L,def2-TZVP,1591.0,0.0,1.0,664.47,10403.1,16.0,113968.0,-3328.77546152,-3328.25126901,0.10677914,-3328.35804815,10.7,12.11,12.9,30.84
IKIJIX-S5,M06L,def2-TZVP,1559.0,0.0,1.0,716.35,11424.1,16.0,206442.0,-7917.72477276,-7917.00665902,0.10948636,-7917.11614538,9.58,18.77,34.7,41.02
JIRSUB-S3,M06L,def2-TZVP,1706.0,0.0,1.0,651.68,18647.8,16.0,148116.0,-3487.55890389,-3486.57851844,0.11964933,-3486.69816777,19.71,32.7,34.79,36.78
OCAHAE-S5,M06L,def2-TZVP,1108.0,0.0,1.0,475.24,3356.8,16.0,86840.0,-2728.30033178,-2727.91064403,0.08034752,-2727.99099155,17.67,23.08,34.61,40.04
OCAHEI-S5,M06L,def2-TZVP,1355.0,0.0,1.0,562.35,6624.3,16.0,116213.0,-2981.58663054,-2981.09262289,0.09266811,-2981.185291,11.76,18.45,21.54,25.79
POGXUG-S5,M06L,def2-TZVP,1105.0,0.0,1.0,620.28,3458.6,16.0,71812.0,-7995.85169781,-7995.51286866,0.08735414,-7995.6002228,12.0,12.26,22.18,22.65
QAHVIE10-S5,M06L,def2-TZVP,1479.0,0.0,1.0,648.55,8570.3,16.0,91485.0,-3829.9296133,-3829.43417636,0.10035078,-3829.53452714,12.54,25.07,27.38,35.36
QOPBIH-S5,M06L,def2-TZVP,1069.0,0.0,1.0,446.28,4310.2,16.0,60405.0,-2602.76000856,-2602.28716322,0.08988308,-2602.3770463,16.12,25.42,31.45,33.34
RUWZUF-S5,M06L,def2-TZVP,1155.0,0.0,1.0,450.39,5582.6,16.0,177270.0,-2458.50635665,-2457.96929992,0.0890061,-2458.05830602,24.67,25.31,30.38,38.61
SAKWIM-S5,M06L,def2-TZVP,1636.0,0.0,1.0,657.05,16081.6,32.0,337375.0,-4057.89255298,-4056.88712824,0.1320971,-4057.01922534,14.34,29.17,40.06,41.72
SUVROS-S5,M06L,def2-TZVP,815.0,0.0,1.0,393.16,1922.0,16.0,49734.0,-3314.00717069,-3313.61223864,0.06253746,-3313.6747761,81.2,90.52,117.66,136.85
YIMHOT-S5,M06L,def2-TZVP,1850.0,0.0,1.0,682.78,22406.8,16.0,215745.0,-3123.28151537,-3122.30956108,0.127505,-3122.43706608,12.92,18.42,20.57,26.54
YUMVUX10-S5,M06L,def2-TZVP,1263.0,0.0,1.0,528.82,6659.3,16.0,198746.0,-3472.66469126,-3471.99819708,0.10962277,-3472.10781985,32.45,46.13,54.75,56.76
