Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,PBE0,def2-TZVP,971.0,0.0,1.0,450.33,3221.0,16.0,188774.0,-3199.30699793,-3198.94372149,0.09077147,-3199.03449297,15.2,19.58,20.75,21.6
CAGROU-S1,PBE0,def2-TZVP,1615.0,0.0,1.0,652.48,3080.9,16.0,474428.0,-3203.53563717,-3202.95965548,0.09445289,-3203.05410836,17.03,18.38,18.73,31.42
DAGLUU01-S5,PBE0,def2-TZVP,687.0,0.0,1.0,335.01,2296.6,16.0,81828.0,-2833.45171156,-2833.2014149,0.06231738,-2833.26373228,41.11,57.67,72.65,89.21
DEDWUE-S3,PBE0,def2-TZVP,1549.0,0.0,1.0,588.6,3183.5,16.0,621829.0,-2879.59369427,-2878.82308242,0.10893817,-2878.9320206,18.67,23.05,42.89,45.8
FEGVOE01-S5,PBE0,def2-TZVP,1423.0,0.0,1.0,552.77,3058.6,16.0,868526.0,-3125.25748502,-3124.45706722,0.11759392,-3124.57466115,12.18,20.3,28.75,37.37
FEPHCY03-S3,PBE0,def2-TZVP,1381.0,0.0,1.0,568.38,3173.5,16.0,333364.0,-2929.36993781,-2928.92333533,0.08067922,-2929.00401455,19.85,40.86,51.67,66.26
FEROCE87-S1,PBE0,def2-TZVP,415.0,0.0,1.0,186.03,740.0,16.0,54121.0,-1650.2756668,-1650.09573814,0.04264038,-1650.13837852,41.2,167.5,167.52,302.57
GORKIJ-S5,PBE0,def2-TZVP,1511.0,0.0,1.0,574.21,3107.3,16.0,847833.0,-2845.83772091,-2845.04840738,0.10525512,-2845.1536625,30.24,40.27,40.53,48.95
HAZQAD-S1,PBE0,def2-TZVP,1647.0,0.0,1.0,626.67,3229.1,16.0,870042.0,-3025.81650235,-3024.9744373,0.12628469,-3025.100722,5.26,6.5,8.09,10.06
HMPBFE-S5,PBE0,def2-TZVP,1673.0,0.0,1.0,650.24,3015.6,16.0,890899.0,-3138.69719831,-3137.91055062,0.11818541,-3138.02873604,28.49,33.75,34.8,41.93
IBUVUW02-S5,PBE0,def2-TZVP,1591.0,0.0,1.0,664.47,3300.3,16.0,473929.0,-3326.41007347,-3325.88199733,0.11085268,-3325.99285001,7.08,7.32,10.62,11.74
IKIJIX-S5,PBE0,def2-TZVP,1559.0,0.0,1.0,716.35,3099.2,16.0,762548.0,-7915.48351544,-7914.76610769,0.10964103,-7914.87574872,11.06,19.55,37.78,39.51
JIRSUB-S3,PBE0,def2-TZVP,1706.0,0.0,1.0,651.68,3107.6,16.0,951597.0,-3485.41960184,-3484.44181054,0.1207454,-3484.56255594,17.98,34.27,36.39,38.38
OCAHAE-S5,PBE0,def2-TZVP,1108.0,0.0,1.0,475.24,3136.7,16.0,241058.0,-2726.61114346,-2726.22001333,0.08075872,-2726.30077204,20.69,22.9,29.09,40.25
OCAHEI-S5,PBE0,def2-TZVP,1355.0,0.0,1.0,562.35,3203.5,16.0,424746.0,-2979.6178811,-2979.12284699,0.0938259,-2979.21667289,10.89,18.39,23.28,24.25
POGXUG-S5,PBE0,def2-TZVP,1105.0,0.0,1.0,620.28,3134.8,16.0,228216.0,-7993.79013912,-7993.44900937,0.0873833,-7993.53639267,14.17,14.88,16.13,18.05
QAHVIE10-S5,PBE0,def2-TZVP,1479.0,0.0,1.0,648.55,3175.6,16.0,355203.0,-3827.62347371,-3827.12423956,0.10298024,-3827.2272198,9.48,10.31,15.2,18.57
QOPBIH-S5,PBE0,def2-TZVP,1069.0,0.0,1.0,446.28,3144.2,16.0,279238.0,-2601.18880715,-2600.71496217,0.09048501,-2600.80544718,14.1,30.44,35.61,36.89
RUWZUF-S5,PBE0,def2-TZVP,1155.0,0.0,1.0,450.39,3139.7,16.0,440998.0,-2457.00922222,-2456.47222236,0.08896904,-2456.5611914,25.85,27.46,30.6,32.02
SAKWIM-S5,PBE0,def2-TZVP,1636.0,0.0,1.0,657.05,3089.7,16.0,1030574.0,-4055.63693544,-4054.63569847,0.1343831,-4054.77008157,11.77,24.41,36.93,40.57
SUVROS-S5,PBE0,def2-TZVP,815.0,0.0,1.0,393.16,3479.3,16.0,71021.0,-3312.63031157,-3312.25076598,0.07286211,-3312.32362808,13.46,20.55,28.06,35.89
YIMHOT-S5,PBE0,def2-TZVP,1850.0,0.0,1.0,682.78,3190.3,16.0,1949712.0,-3121.04308996,-3120.07224549,0.12864513,-3120.20089062,14.33,21.77,23.56,26.01
YUMVUX10-S5,PBE0,def2-TZVP,1263.0,0.0,1.0,528.82,3086.3,16.0,698580.0,-3470.82512709,-3470.16072917,0.11038289,-3470.27111206,32.75,47.93,49.15,57.97
