Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,TPSSh,def2-TZVP,971.0,0.0,1.0,450.33,3220.8,16.0,160454.0,-3201.23819914,-3200.87848856,0.09094964,-3200.9694382,14.68,19.93,20.92,21.27
CAGROU-S1,TPSSh,def2-TZVP,1615.0,0.0,1.0,652.48,3081.5,16.0,428418.0,-3206.1877107,-3205.61775469,0.0951049,-3205.71285959,16.76,18.07,18.82,31.6
DAGLUU01-S5,TPSSh,def2-TZVP,687.0,0.0,1.0,335.01,2287.3,16.0,72549.0,-2834.86288832,-2834.61480783,0.06271347,-2834.67752129,42.58,59.54,72.37,88.77
DEDWUE-S3,TPSSh,def2-TZVP,1549.0,0.0,1.0,588.6,17354.6,32.0,1799510.0,-2881.90381555,-2881.13869634,0.11023393,-2881.24893027,16.74,21.57,42.88,44.34
FEGVOE01-S5,TPSSh,def2-TZVP,1423.0,0.0,1.0,552.77,3057.6,16.0,786958.0,-3127.47335451,-3126.67752429,0.11890979,-3126.79643408,11.11,23.7,33.14,37.13
FEPHCY03-S3,TPSSh,def2-TZVP,1381.0,0.0,1.0,568.38,3172.3,16.0,326313.0,-2931.66224663,-2931.22077693,0.0815105,-2931.30228743,18.32,40.67,49.03,62.71
FEROCE87-S1,TPSSh,def2-TZVP,415.0,0.0,1.0,186.03,736.6,16.0,62498.0,-1651.0546815,-1650.87641204,0.04268565,-1650.91909769,45.8,166.94,166.95,309.2
GORKIJ-S5,TPSSh,def2-TZVP,1511.0,0.0,1.0,574.21,3107.1,16.0,653660.0,-2848.12007805,-2847.33694868,0.10638514,-2847.44333383,32.43,39.59,40.59,49.62
HAZQAD-S1,TPSSh,def2-TZVP,1647.0,0.0,1.0,626.67,5330.4,16.0,658239.0,-3028.32604246,-3027.49008371,0.12864297,-3027.61872668,2.78,3.83,6.22,10.73
HMPBFE-S5,TPSSh,def2-TZVP,1673.0,0.0,1.0,650.24,3015.5,16.0,808565.0,-3141.29536154,-3140.51483236,0.11922374,-3140.6340561,26.2,27.44,34.27,36.64
IBUVUW02-S5,TPSSh,def2-TZVP,1591.0,0.0,1.0,664.47,3145.0,16.0,773873.0,-3329.1744468,-3328.65322607,0.10608037,-3328.75930644,13.35,25.33,26.65,30.0
IKIJIX-S5,TPSSh,def2-TZVP,1559.0,0.0,1.0,716.35,3098.0,16.0,779384.0,-7918.09523421,-7917.38334777,0.11093226,-7917.49428003,9.05,18.29,37.75,38.26
JIRSUB-S3,TPSSh,def2-TZVP,1706.0,0.0,1.0,651.68,3106.1,16.0,774783.0,-3487.97523652,-3487.00400651,0.1229273,-3487.12693381,17.84,32.99,34.55,36.76
OCAHAE-S5,TPSSh,def2-TZVP,1108.0,0.0,1.0,475.24,3136.9,16.0,271308.0,-2728.60367105,-2728.21685897,0.08082779,-2728.29768676,22.59,22.94,32.39,43.82
OCAHEI-S5,TPSSh,def2-TZVP,1355.0,0.0,1.0,562.35,3202.1,16.0,560234.0,-2981.93950592,-2981.44932937,0.09399636,-2981.54332573,11.14,18.42,23.43,24.64
POGXUG-S5,TPSSh,def2-TZVP,1105.0,0.0,1.0,620.28,3135.1,16.0,208324.0,-7996.17204556,-7995.83478606,0.08745657,-7995.92224263,14.87,16.53,17.25,19.03
QAHVIE10-S5,TPSSh,def2-TZVP,1479.0,0.0,1.0,648.55,3174.6,16.0,304403.0,-3830.33565447,-3829.84264226,0.10409347,-3829.94673574,7.72,9.01,12.78,17.09
QOPBIH-S5,TPSSh,def2-TZVP,1069.0,0.0,1.0,446.28,3143.1,16.0,257287.0,-2603.04832163,-2602.57847557,0.09140168,-2602.66987725,11.23,15.61,32.13,36.13
RUWZUF-S5,TPSSh,def2-TZVP,1155.0,0.0,1.0,450.39,3139.3,16.0,397517.0,-2458.81225441,-2458.27934351,0.08973853,-2458.36908205,22.79,23.46,26.81,28.9
SAKWIM-S5,TPSSh,def2-TZVP,1636.0,0.0,1.0,657.05,3088.9,16.0,969360.0,-4058.29559544,-4057.29967422,0.13657913,-4057.43625335,8.13,19.58,35.05,37.39
SUVROS-S5,TPSSh,def2-TZVP,815.0,0.0,1.0,393.16,3479.2,16.0,74538.0,-3314.28707841,-3313.91078277,0.07430357,-3313.98508635,3.0,19.46,27.73,33.69
YIMHOT-S5,TPSSh,def2-TZVP,1850.0,0.0,1.0,682.78,3188.6,16.0,1762085.0,-3123.70276364,-3122.73893469,0.13052377,-3122.86945845,11.29,17.34,20.25,22.18
YUMVUX10-S5,TPSSh,def2-TZVP,1263.0,0.0,1.0,528.82,3085.7,16.0,709684.0,-3473.01140484,-3472.35044604,0.1111454,-3472.46159145,32.1,46.44,48.73,56.41
