Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,B3LYP,def2-TZVP,971.0,0.0,5.0,0.014937,450.33,3719.9,16.0,492441.0,-3200.3652218,-3200.00671452,0.10093611,-3200.10765063,9.9,15.0,17.6,18.04
CAGROU-S1,B3LYP,def2-TZVP,1615.0,0.0,5.0,0.081642,652.48,3453.8,16.0,1639922.0,-3204.79270313,-3204.22301308,0.10086041,-3204.32387349,13.84,14.29,15.8,23.9
DAGLUU01-S5,B3LYP,def2-TZVP,687.0,0.0,5.0,0.011786,335.01,3322.3,16.0,88524.0,-2834.24377063,-2833.99539829,0.06601506,-2834.06141336,26.48,34.64,68.32,71.97
DEDWUE-S3,B3LYP,def2-TZVP,1549.0,0.0,5.0,0.027984,588.6,3227.3,16.0,1179926.0,-2880.61867169,-2879.85625929,0.11210537,-2879.96836466,17.39,22.9,42.45,43.37
FEGVOE01-S5,B3LYP,def2-TZVP,1423.0,0.0,5.0,0.017735,552.77,3339.3,16.0,1079313.0,-3126.36124752,-3125.56420135,0.12133831,-3125.68553966,15.59,19.81,20.79,27.16
FEPHCY03-S3,B3LYP,def2-TZVP,1381.0,0.0,5.0,0.038038,568.38,3334.7,16.0,700677.0,-2930.47368576,-2930.03355173,0.08399349,-2930.11754522,16.11,39.69,52.62,56.19
FEROCE87-S1,B3LYP,def2-TZVP,415.0,0.0,5.0,0.014476,186.03,1099.1,16.0,30566.0,-1650.60750223,-1650.43119044,0.04985955,-1650.48104999,13.33,57.77,60.47,62.19
GORKIJ-S5,B3LYP,def2-TZVP,1511.0,0.0,5.0,0.016722,574.21,3433.2,16.0,1165317.0,-2846.91415514,-2846.12913716,0.11015994,-2846.2392971,23.13,29.52,32.99,34.84
HAZQAD-S1,B3LYP,def2-TZVP,1647.0,0.0,5.0,0.036855,626.67,3261.2,16.0,1397760.0,-3026.92244174,-3026.08780883,0.13312849,-3026.22093732,8.3,11.33,13.34,14.0
HMPBFE-S5,B3LYP,def2-TZVP,1673.0,0.0,5.0,0.007512,650.24,3412.4,16.0,1750222.0,-3139.8937414,-3139.11383924,0.12469224,-3139.23853148,21.79,32.73,32.9,33.18
IBUVUW02-S5,B3LYP,def2-TZVP,1591.0,0.0,5.0,0.009063,664.47,3335.9,16.0,739238.0,-3327.78493822,-3327.26359563,0.118484,-3327.38207964,4.92,6.36,8.08,9.4
IKIJIX-S5,B3LYP,def2-TZVP,1559.0,0.0,5.0,0.015403,716.35,3297.3,16.0,1209015.0,-7916.90511733,-7916.19172109,0.11354661,-7916.3052677,11.67,17.06,32.61,41.89
JIRSUB-S3,B3LYP,def2-TZVP,1706.0,0.0,5.0,0.019931,651.68,3148.9,16.0,1794892.0,-3486.58039401,-3485.6074723,0.12544886,-3485.73292116,15.17,34.25,35.09,38.09
OCAHAE-S5,B3LYP,def2-TZVP,1108.0,0.0,5.0,0.012566,475.24,3571.0,16.0,333216.0,-2727.65115178,-2727.26424344,0.08813854,-2727.35238198,13.1,17.32,24.2,28.34
OCAHEI-S5,B3LYP,def2-TZVP,1355.0,0.0,5.0,0.012267,562.35,3468.9,16.0,556816.0,-2980.81249795,-2980.32208147,0.10100366,-2980.42308513,12.24,12.76,14.28,20.07
POGXUG-S5,B3LYP,def2-TZVP,1105.0,0.0,5.0,0.013448,620.28,3567.8,16.0,448976.0,-7995.15650826,-7994.81991147,0.0948904,-7994.91480187,10.64,11.73,12.08,14.16
QAHVIE10-S5,B3LYP,def2-TZVP,1479.0,0.0,5.0,0.011905,648.55,3491.1,16.0,709221.0,-3828.9971825,-3828.50446113,0.11068381,-3828.61514494,4.24,6.9,11.48,13.44
QOPBIH-S5,B3LYP,def2-TZVP,1069.0,0.0,5.0,0.024468,446.28,3517.2,16.0,386653.0,-2602.15085126,-2601.68216646,0.09755114,-2601.7797176,20.51,27.18,30.11,32.97
RUWZUF-S5,B3LYP,def2-TZVP,1155.0,0.0,5.0,0.042193,450.39,6584.8,16.0,295594.0,-2457.88214464,-2457.34806925,0.09648234,-2457.44455159,16.94,19.39,21.32,23.14
SAKWIM-S5,B3LYP,def2-TZVP,1636.0,0.0,5.0,0.015957,657.05,3300.2,16.0,1517044.0,-4056.98159808,-4055.98440372,0.13842636,-4056.12283007,14.99,26.48,32.33,35.98
SUVROS-S5,B3LYP,def2-TZVP,815.0,0.0,5.0,0.010163,393.16,3777.3,16.0,118752.0,-3313.55282703,-3313.17618171,0.07707959,-3313.2532613,11.48,19.15,24.09,32.3
YIMHOT-S5,B3LYP,def2-TZVP,1850.0,0.0,5.0,0.026806,682.78,3240.1,16.0,2493227.0,-3122.29279841,-3121.32650602,0.13569143,-3121.46219744,16.89,22.1,24.23,28.24
YUMVUX10-S5,B3LYP,def2-TZVP,1263.0,0.0,5.0,0.017614,528.82,3534.8,16.0,699483.0,-3471.93152664,-3471.27022556,0.11650303,-3471.38672859,22.44,32.29,33.37,47.41
