Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,M06L,def2-TZVP,971.0,0.0,5.0,0.152494,450.33,4462.0,32.0,288579.0,-3200.9756612,-3200.6160961,0.09993569,-3200.7160318,3.64,8.39,12.34,13.89
CAGROU-S1,M06L,def2-TZVP,1615.0,0.0,5.0,0.40894,652.48,7186.6,16.0,408842.0,-3205.74426391,-3205.17244908,0.10023596,-3205.27268504,7.4,14.27,16.0,23.25
DAGLUU01-S5,M06L,def2-TZVP,687.0,0.0,5.0,0.10444,335.01,1702.9,16.0,78919.0,-2834.69072012,-2834.44143811,0.06601403,-2834.50745214,26.61,34.95,66.11,69.35
DEDWUE-S3,M06L,def2-TZVP,1549.0,0.0,5.0,0.03188,588.6,7237.6,16.0,423288.0,-2881.56456835,-2880.79382903,0.11111074,-2880.90493978,24.95,34.02,35.22,47.47
FEGVOE01-S5,M06L,def2-TZVP,1423.0,0.0,5.0,0.024518,552.77,3617.4,16.0,471410.0,-3127.19305716,-3126.39026741,0.11968378,-3126.50995118,7.72,13.49,25.79,30.39
FEPHCY03-S3,M06L,def2-TZVP,1381.0,0.0,5.0,0.122825,568.38,7199.4,16.0,256494.0,-2931.31123095,-2930.83795671,0.06894089,-2930.9068976,109.35,143.92,163.14,166.53
FEROCE87-S1,M06L,def2-TZVP,415.0,0.0,5.0,0.037585,186.03,522.6,16.0,14920.0,-1650.8546321,-1650.65312599,0.04801114,-1650.70113714,14.53,65.32,77.98,170.71
GORKIJ-S5,M06L,def2-TZVP,1511.0,0.0,5.0,0.041872,574.21,3628.7,16.0,623249.0,-2847.79842878,-2847.00994127,0.10787615,-2847.11781742,33.0,39.24,41.86,45.94
HAZQAD-S1,M06L,def2-TZVP,1647.0,0.0,5.0,0.098055,626.67,3595.8,16.0,451013.0,-3027.86882365,-3027.02868882,0.12791745,-3027.15660627,7.52,16.47,20.33,25.0
HMPBFE-S5,M06L,def2-TZVP,1673.0,0.0,5.0,0.018245,650.24,7221.9,16.0,722966.0,-3140.89397981,-3140.10990068,0.12320752,-3140.2331082,18.03,27.36,27.55,29.03
IBUVUW02-S5,M06L,def2-TZVP,1591.0,0.0,5.0,0.096098,664.47,13035.3,16.0,653341.0,-3328.77967007,-3328.25701987,0.11282284,-3328.36984271,7.61,9.75,11.64,14.81
IKIJIX-S5,M06L,def2-TZVP,1559.0,0.0,5.0,0.363127,716.35,3572.9,16.0,469498.0,-7917.78749656,-7917.07013282,0.11235646,-7917.18248929,4.46,23.36,26.48,35.76
JIRSUB-S3,M06L,def2-TZVP,1706.0,0.0,5.0,0.046662,651.68,7219.2,16.0,1135202.0,-3487.580983,-3486.60111664,0.12316287,-3486.72427951,13.51,32.97,37.28,39.21
OCAHAE-S5,M06L,def2-TZVP,1108.0,0.0,5.0,0.222958,475.24,3602.3,16.0,173831.0,-2728.31805622,-2727.92979784,0.08632194,-2728.01611979,16.12,17.53,27.31,38.61
OCAHEI-S5,M06L,def2-TZVP,1355.0,0.0,5.0,0.229645,562.35,3601.1,16.0,259069.0,-2981.60917338,-2981.11690359,0.09891742,-2981.215821,11.88,14.17,18.35,24.85
POGXUG-S5,M06L,def2-TZVP,1105.0,0.0,5.0,0.080351,620.28,3623.3,16.0,154682.0,-7995.85551371,-7995.51825087,0.09264795,-7995.61089882,13.71,16.21,19.53,25.82
QAHVIE10-S5,M06L,def2-TZVP,1479.0,0.0,5.0,0.149618,648.55,7166.6,16.0,373079.0,-3829.92183373,-3829.42843799,0.10794548,-3829.53638348,9.21,13.55,18.98,20.23
QOPBIH-S5,M06L,def2-TZVP,1069.0,0.0,5.0,0.1066,446.28,3619.4,16.0,107233.0,-2602.77787529,-2602.30679576,0.09580326,-2602.40259902,20.95,23.63,30.26,31.69
RUWZUF-S5,M06L,def2-TZVP,1155.0,0.0,5.0,0.246184,450.39,3617.9,16.0,210652.0,-2458.53822922,-2458.00154107,0.09416914,-2458.09571021,12.71,17.65,22.02,25.42
SAKWIM-S5,M06L,def2-TZVP,1636.0,0.0,5.0,0.038401,657.05,7200.2,16.0,1061774.0,-4057.97857011,-4056.97390093,0.13547852,-4057.10937945,23.77,28.8,37.58,40.67
SUVROS-S5,M06L,def2-TZVP,815.0,0.0,5.0,0.018651,393.16,3067.8,16.0,96723.0,-3314.07719649,-3313.69896235,0.07478391,-3313.77374626,17.26,30.29,37.73,46.44
YIMHOT-S5,M06L,def2-TZVP,1850.0,0.0,5.0,0.065983,682.78,7171.8,16.0,1105423.0,-3123.35166636,-3122.37915183,0.13154362,-3122.51069545,12.41,19.31,27.94,34.55
YUMVUX10-S5,M06L,def2-TZVP,1263.0,0.0,5.0,0.059961,528.82,12308.0,32.0,931599.0,-3472.69888722,-3472.03343398,0.11631509,-3472.14974906,20.34,30.99,38.14,40.1
