Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,PBE0,def2-TZVP,971.0,0.0,5.0,0.015001,450.33,3721.5,16.0,617760.0,-3199.34452807,-3198.9834464,0.10005578,-3199.08350218,9.63,14.25,16.21,17.27
CAGROU-S1,PBE0,def2-TZVP,1615.0,0.0,5.0,0.080054,652.48,3455.5,16.0,1354349.0,-3203.53850008,-3202.96453248,0.10049313,-3203.06502561,13.81,14.73,16.14,23.88
DAGLUU01-S5,PBE0,def2-TZVP,687.0,0.0,5.0,0.012476,335.01,3343.9,16.0,102581.0,-2833.52910872,-2833.27928175,0.06578434,-2833.34506609,27.55,33.63,67.67,71.37
DEDWUE-S3,PBE0,def2-TZVP,1549.0,0.0,5.0,0.015983,588.6,3251.0,16.0,1296537.0,-2879.6508392,-2878.88197107,0.11194772,-2878.9939188,22.76,32.6,34.2,45.58
FEGVOE01-S5,PBE0,def2-TZVP,1423.0,0.0,5.0,0.018976,552.77,3342.8,16.0,1159639.0,-3125.34678885,-3124.54693389,0.12172705,-3124.66866094,15.67,16.34,18.48,26.33
FEPHCY03-S3,PBE0,def2-TZVP,1381.0,0.0,5.0,0.062211,568.38,3335.2,16.0,790187.0,-2929.38623383,-2928.94328,0.08351587,-2929.02679587,18.37,40.07,50.78,63.21
FEROCE87-S1,PBE0,def2-TZVP,415.0,0.0,5.0,0.016019,186.03,1099.3,16.0,26563.0,-1650.25478158,-1650.0773409,0.04903438,-1650.12637527,23.85,61.88,63.65,78.85
GORKIJ-S5,PBE0,def2-TZVP,1511.0,0.0,5.0,0.019444,574.21,3436.7,16.0,1314631.0,-2845.9026547,-2845.11371695,0.10965536,-2845.22337232,21.46,29.86,33.74,34.54
HAZQAD-S1,PBE0,def2-TZVP,1647.0,0.0,5.0,0.038961,626.67,3268.7,16.0,1499492.0,-3025.78095874,-3024.94177896,0.13169943,-3025.07347839,8.86,12.44,13.62,14.6
HMPBFE-S5,PBE0,def2-TZVP,1673.0,0.0,5.0,0.008317,650.24,3415.6,16.0,1570168.0,-3138.71557631,-3137.93079189,0.124097,-3138.05488889,20.9,32.56,33.05,33.31
IBUVUW02-S5,PBE0,def2-TZVP,1591.0,0.0,5.0,0.009376,664.47,3338.0,16.0,695817.0,-3326.42724054,-3325.90122954,0.11774061,-3326.01897015,6.25,6.7,7.48,8.76
IKIJIX-S5,PBE0,def2-TZVP,1559.0,0.0,5.0,0.015743,716.35,3300.3,16.0,1167597.0,-7915.56328763,-7914.84631946,0.11343365,-7914.95975311,11.8,17.68,29.66,41.46
JIRSUB-S3,PBE0,def2-TZVP,1706.0,0.0,5.0,0.025637,651.68,3152.7,16.0,2069231.0,-3485.45771717,-3484.48131615,0.12535727,-3484.60667342,14.57,29.26,36.34,36.87
OCAHAE-S5,PBE0,def2-TZVP,1108.0,0.0,5.0,0.012295,475.24,3572.2,16.0,390461.0,-2726.65246786,-2726.26257587,0.08763809,-2726.35021396,13.6,18.8,24.73,28.57
OCAHEI-S5,PBE0,def2-TZVP,1355.0,0.0,5.0,0.012193,562.35,3472.7,16.0,576892.0,-2979.66399414,-2979.17023973,0.10020482,-2979.27044455,13.91,14.65,15.39,21.44
POGXUG-S5,PBE0,def2-TZVP,1105.0,0.0,5.0,0.013497,620.28,3568.9,16.0,444260.0,-7993.81000833,-7993.47069775,0.0947311,-7993.56542886,8.01,8.65,10.65,12.74
QAHVIE10-S5,PBE0,def2-TZVP,1479.0,0.0,5.0,0.012392,648.55,3500.2,16.0,1267238.0,-3827.65277548,-3827.15574025,0.10604886,-3827.26178911,12.12,22.06,23.57,24.41
QOPBIH-S5,PBE0,def2-TZVP,1069.0,0.0,5.0,0.024079,446.28,3518.6,16.0,397167.0,-2601.21958005,-2600.7478503,0.09684416,-2600.84469447,20.05,25.98,29.35,35.49
RUWZUF-S5,PBE0,def2-TZVP,1155.0,0.0,5.0,0.042098,450.39,3518.4,16.0,718144.0,-2457.05935572,-2456.52250669,0.09595278,-2456.61845947,18.52,21.8,22.33,22.93
SAKWIM-S5,PBE0,def2-TZVP,1636.0,0.0,5.0,0.017612,657.05,3306.7,16.0,1652078.0,-4055.74365306,-4054.74370624,0.13790802,-4054.88161426,18.8,28.85,36.35,38.13
SUVROS-S5,PBE0,def2-TZVP,815.0,0.0,5.0,0.010942,393.16,3778.6,16.0,273271.0,-3312.71434194,-3312.33573452,0.07648304,-3312.41221756,12.8,18.96,27.5,33.78
YIMHOT-S5,PBE0,def2-TZVP,1850.0,0.0,5.0,0.030857,682.78,3246.4,16.0,2474597.0,-3121.12987786,-3120.15894171,0.13444044,-3120.29338215,20.03,23.1,25.1,32.91
YUMVUX10-S5,PBE0,def2-TZVP,1263.0,0.0,5.0,0.020148,528.82,3537.0,16.0,700811.0,-3470.88076418,-3470.21722968,0.1163909,-3470.33362058,24.27,33.12,34.71,47.12
