Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,TPSSh,def2-TZVP,971.0,0.0,5.0,0.027394,450.33,3721.4,16.0,433093.0,-3201.25005366,-3200.89251271,0.10100204,-3200.99351475,8.66,12.53,14.86,15.95
CAGROU-S1,TPSSh,def2-TZVP,1615.0,0.0,5.0,0.157705,652.48,3455.7,16.0,1821748.0,-3206.15785301,-3205.59004413,0.10134729,-3205.69139142,10.9,13.04,15.65,23.64
DAGLUU01-S5,TPSSh,def2-TZVP,687.0,0.0,5.0,0.011339,335.01,3343.5,16.0,122691.0,-2834.91327195,-2834.66551579,0.0663825,-2834.73189829,22.97,34.09,66.42,69.47
DEDWUE-S3,TPSSh,def2-TZVP,1549.0,0.0,5.0,0.013076,588.6,3225.4,16.0,1129561.0,-2881.94063863,-2881.1772521,0.11315075,-2881.29040285,22.28,32.41,34.86,45.48
FEGVOE01-S5,TPSSh,def2-TZVP,1423.0,0.0,5.0,0.014895,552.77,3363.6,16.0,1866759.0,-3127.53493235,-3126.73938911,0.12324998,-3126.86263908,10.72,17.74,18.55,24.85
FEPHCY03-S3,TPSSh,def2-TZVP,1381.0,0.0,5.0,0.045847,568.38,3334.6,16.0,656339.0,-2931.67269837,-2931.23474764,0.08428679,-2931.31903443,15.94,39.71,48.09,59.99
FEROCE87-S1,TPSSh,def2-TZVP,415.0,0.0,5.0,0.013415,186.03,1305.7,16.0,34698.0,-1651.00050084,-1650.8246211,0.05002999,-1650.87465109,7.22,39.08,52.2,94.29
GORKIJ-S5,TPSSh,def2-TZVP,1511.0,0.0,5.0,0.017947,574.21,3436.3,16.0,1332640.0,-2848.15878095,-2847.37578522,0.11169604,-2847.48748126,16.8,29.06,31.13,32.56
HAZQAD-S1,TPSSh,def2-TZVP,1647.0,0.0,5.0,0.040276,626.67,3265.7,16.0,1504846.0,-3028.25936402,-3027.42631197,0.13468632,-3027.56099829,8.68,9.43,10.29,13.0
HMPBFE-S5,TPSSh,def2-TZVP,1673.0,0.0,5.0,0.007076,650.24,3414.4,16.0,1921868.0,-3141.2863905,-3140.50765351,0.12581041,-3140.63346392,18.35,27.73,33.26,33.74
IBUVUW02-S5,TPSSh,def2-TZVP,1591.0,0.0,5.0,0.010486,664.47,3347.6,16.0,1603348.0,-3329.16763322,-3328.64819408,0.11248767,-3328.76068176,12.45,21.74,23.47,23.59
IKIJIX-S5,TPSSh,def2-TZVP,1559.0,0.0,5.0,0.106336,716.35,3300.5,16.0,1217743.0,-7918.14421798,-7917.43298002,0.11437693,-7917.54735695,16.12,16.27,30.03,34.16
JIRSUB-S3,TPSSh,def2-TZVP,1706.0,0.0,5.0,0.023349,651.68,3151.5,16.0,2004600.0,-3487.99041177,-3487.02029387,0.12742304,-3487.14771691,14.57,31.6,35.58,37.77
OCAHAE-S5,TPSSh,def2-TZVP,1108.0,0.0,5.0,0.02919,475.24,3572.1,16.0,400739.0,-2728.61324536,-2728.22764514,0.08834283,-2728.31598797,12.48,16.39,24.98,30.99
OCAHEI-S5,TPSSh,def2-TZVP,1355.0,0.0,5.0,0.03062,562.35,3471.7,16.0,712272.0,-2981.9542022,-2981.46537001,0.10140943,-2981.56677945,11.14,12.42,13.71,19.2
POGXUG-S5,TPSSh,def2-TZVP,1105.0,0.0,5.0,0.016229,620.28,3568.7,16.0,471849.0,-7996.16360313,-7995.82811773,0.09507472,-7995.92319245,10.35,11.35,11.93,12.75
QAHVIE10-S5,TPSSh,def2-TZVP,1479.0,0.0,5.0,0.017407,648.55,3499.1,16.0,1083121.0,-3830.33385403,-3829.84293715,0.10698049,-3829.94991764,11.44,21.38,23.37,24.79
QOPBIH-S5,TPSSh,def2-TZVP,1069.0,0.0,5.0,0.033538,446.28,3518.0,16.0,370074.0,-2603.05405617,-2602.58629895,0.09757264,-2602.68387159,19.95,25.59,29.95,35.92
RUWZUF-S5,TPSSh,def2-TZVP,1155.0,0.0,5.0,0.064909,450.39,3519.7,16.0,789059.0,-2458.8342844,-2458.30161143,0.09647875,-2458.39809018,18.88,20.79,21.69,22.82
SAKWIM-S5,TPSSh,def2-TZVP,1636.0,0.0,5.0,0.015335,657.05,3304.3,16.0,1966824.0,-4058.37865461,-4057.38374363,0.1402573,-4057.52400093,15.9,23.28,29.83,34.9
SUVROS-S5,TPSSh,def2-TZVP,815.0,0.0,5.0,0.009201,393.16,3778.5,16.0,138297.0,-3314.35036877,-3313.97484157,0.07739695,-3314.05223853,11.11,16.72,25.79,31.57
YIMHOT-S5,TPSSh,def2-TZVP,1850.0,0.0,5.0,0.028709,682.78,3243.2,16.0,2672321.0,-3123.76356994,-3122.79917572,0.13644542,-3122.93562114,16.54,19.84,23.72,28.83
YUMVUX10-S5,TPSSh,def2-TZVP,1263.0,0.0,5.0,0.021778,528.82,3536.1,16.0,769111.0,-3473.03868329,-3472.37834254,0.11763014,-3472.49597268,22.85,32.3,33.61,45.99
