Identifier,Single Point Energy (S1) / HF,Point Group_x,Vibrational Frequency 6 (S1) / cm-1,Vibrational Frequency 7 (S1) / cm-1,Vibrational Frequency 8 (S1) / cm-1,Vibrational Frequency 9 (S1) / cm-1,Total Enthalpy (S1) / HF,Entropy Term (S1) / HF,Total Gibbs Free Energy (S1) / HF,Single Point Energy (S3) / HF,Point Group_y,Vibrational Frequency 6 (S3) / cm-1,Vibrational Frequency 7 (S3) / cm-1,Vibrational Frequency 8 (S3) / cm-1,Vibrational Frequency 9 (S3) / cm-1,Total Enthalpy (S3) / HF,Entropy Term (S3) / HF,Total Gibbs Free Energy (S3) / HF,Single Point Energy (S5) / HF,Point Group,Vibrational Frequency 6 (S5) / cm-1,Vibrational Frequency 7 (S5) / cm-1,Vibrational Frequency 8 (S5) / cm-1,Vibrational Frequency 9 (S5) / cm-1,Total Enthalpy (S5) / HF,Entropy Term (S5) / HF,Total Gibbs Free Energy (S5) / HF,Prediced Tsco,Exp Mult,Prediced Mult
BOYDOI-S5,-3201.238199138419,C1,14.68,19.93,20.92,21.27,-3200.87848856,0.09094964,-3200.9694382,-3201.240284295576,C1,13.2,17.8,19.67,20.01,-3200.88220322,0.09702675,-3200.97922997,-3201.250053659222,C1,8.66,12.53,14.86,15.95,-3200.89251271,0.10100204,-3200.99351475,-415.95045189091,S5,S5
CAGROU-S1,-3206.187710699988,C1,16.76,18.07,18.82,31.6,-3205.61775469,0.0951049,-3205.71285959,-3206.157902115203,C1,16.58,19.84,21.56,27.69,-3205.59090085,0.09693362,-3205.68783447,-3206.157853010776,C1,10.9,13.04,15.65,23.64,-3205.59004413,0.10134729,-3205.69139142,4378.1838641330105,S1,S1
DAGLUU01-S5,-2834.862888317607,C1,42.58,59.54,72.37,88.77,-2834.61480783,0.06271347,-2834.67752129,-2834.873419410843,C1,26.01,37.2,56.48,65.19,-2834.62583302,0.06602693,-2834.69185995,-2834.913271952033,C1,22.97,34.09,66.42,69.47,-2834.66551579,0.0663825,-2834.73189829,-4120.592710894743,S5,S5
FEPHCY03-S5,-2931.662246631789,C1,18.32,40.67,49.03,62.71,-2931.22077693,0.0815105,-2931.30228743,-2931.716233922634,C1,18.97,40.85,49.9,64.43,-2931.27491585,0.08259353,-2931.35750938,-2931.672698374175,C1,15.94,39.71,48.09,59.99,-2931.23474764,0.08428679,-2931.31903443,-14904.036820837811,S5,S3
GORKIJ-S5,-2848.120078047829,C1,32.43,39.59,40.59,49.62,-2847.33694868,0.10638514,-2847.44333383,-2848.137620618854,C1,36.34,38.64,39.42,42.88,-2847.35478027,0.11008091,-2847.46486117,-2848.158780953844,C1,16.8,29.06,31.13,32.56,-2847.37578522,0.11169604,-2847.48748126,-2180.254646288995,S5,S5
IBUVUW02-S1,-3329.174446800438,C1,13.35,25.33,26.65,30.0,-3328.65322607,0.10608037,-3328.75930644,-3329.136135591209,C1,8.6,9.15,11.91,13.24,-3328.61626782,0.11457553,-3328.73084335,-3329.167633222138,C1,12.45,21.74,23.47,23.59,-3328.64819408,0.11248767,-3328.76068176,234.15289100556882,S1,S5
IKIJIX-S5,-7918.095234208631,C1,9.05,18.29,37.75,38.26,-7917.38334777,0.11093226,-7917.49428003,-7918.120330641169,C1,12.94,15.57,17.59,22.85,-7917.40925753,0.1136836,-7917.52294113,-7918.144217975688,C1,16.12,16.27,30.03,34.16,-7917.43298002,0.11437693,-7917.54735695,-4295.870239409095,S5,S5
OCAHAE-S5,-2728.60367104847,C1,22.59,22.94,32.39,43.82,-2728.21685897,0.08082779,-2728.29768676,-2728.597227338019,C1,19.14,20.18,30.82,40.98,-2728.21134842,0.08550574,-2728.29685416,-2728.613245356459,C1,12.48,16.39,24.98,30.99,-2728.22764514,0.08834283,-2728.31598797,-427.9280729649164,S5,S5
OCAHEI-S5,-2981.939505923651,C1,11.14,18.42,23.43,24.64,-2981.44932937,0.09399636,-2981.54332573,-2981.93941027706,C1,13.8,15.15,19.34,20.43,-2981.45015406,0.09840356,-2981.54855762,-2981.954202204724,C1,11.14,12.42,13.71,19.2,-2981.46537001,0.10140943,-2981.56677945,-645.1465878337689,S5,S5
POGXUG-S5,-7996.172045559952,C1,14.87,16.53,17.25,19.03,-7995.83478606,0.08745657,-7995.92224263,-7996.148383730403,C1,7.69,13.93,16.54,20.27,-7995.81250697,0.09188741,-7995.90439437,-7996.163603134552,C1,10.35,11.35,11.93,12.75,-7995.82811773,0.09507472,-7995.92319245,260.9770862402739,S5,S5
