Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,M06L,def2-TZVP,1825.0,0.0,2.0,0.06188,730.56,12970.6,16.0,491698.0,-3457.16690684,-3456.50968634,0.10810947,-3456.61779581,8.83,23.21,28.6,29.47
CELVEU-S6,M06L,def2-TZVP,872.0,0.0,2.0,0.031153,423.75,3216.3,16.0,78402.0,-3399.82532944,-3399.50343948,0.07648838,-3399.57992786,19.07,36.65,37.86,39.93
CEQPOF-S2,M06L,def2-TZVP,871.0,0.0,2.0,0.064366,449.16,3975.3,16.0,682871.0,-2339.61701899,-2339.16414714,0.06312356,-2339.2272707,85.92,124.89,137.04,145.27
ELIRUN-S6,M06L,def2-TZVP,934.0,0.0,2.0,0.264193,454.53,3883.0,54.0,238829.0,-3600.16387309,-3599.8296907,0.07571226,-3599.90540296,18.47,31.5,52.84,67.12
EXUBIK-S6,M06L,def2-TZVP,1147.0,1.0,2.0,0.028596,516.25,5877.9,16.0,199498.0,-2930.42589714,-2930.12233326,0.08297163,-2930.20530489,20.96,27.74,33.8,35.64
FEACAC03-S6,M06L,def2-TZVP,822.0,0.0,2.0,0.017325,353.17,3180.9,16.0,81652.0,-2299.69841433,-2299.32950036,0.07910916,-2299.40860952,20.67,32.3,47.74,53.05
FONNAZ-S6,M06L,def2-TZVP,1248.0,0.0,2.0,0.015496,525.43,9960.2,32.0,301179.0,-3114.27582568,-3113.73236347,0.09131017,-3113.82367364,11.52,17.5,25.58,31.76
GEDTUE-S4,M06L,def2-TZVP,907.0,0.0,2.0,0.759546,535.41,4326.8,54.0,390410.0,-3814.53008051,-3814.07924709,0.08899121,-3814.1682383,14.32,21.88,25.01,28.59
KANYUT-S6,M06L,def2-TZVP,1738.0,0.0,2.0,0.127176,704.0,13027.0,16.0,1474536.0,-3637.00541682,-3636.36528936,0.10312297,-3636.46841233,6.55,28.15,29.38,39.24
KIKBOV-S6,M06L,def2-TZVP,1538.0,0.0,2.0,0.99309,710.7,17358.6,16.0,732739.0,-4787.17585785,-4786.55098884,0.12224651,-4786.67323535,16.35,20.33,25.11,27.22
LUJNOV-S6,M06L,def2-TZVP,731.0,0.0,2.0,0.062593,381.05,1778.9,16.0,90978.0,-3318.46892204,-3318.25779466,0.06403786,-3318.32183253,37.17,47.65,63.95,78.26
MOPDUQ-S6,M06L,def2-TZVP,1305.0,0.0,2.0,0.013928,542.34,7224.8,16.0,248991.0,-2923.1480522,-2922.61333778,0.07146816,-2922.68480594,106.03,111.58,128.95,138.97
OETPFE-S4,M06L,def2-TZVP,1710.0,0.0,2.0,0.106573,688.05,17967.9,32.0,2125657.0,-3642.50039532,-3641.70453872,0.11977581,-3641.82431452,12.61,19.17,26.26,39.99
OQODEE-S6,M06L,def2-TZVP,748.0,0.0,2.0,0.016277,382.48,2249.5,16.0,75767.0,-3367.62819058,-3367.3301151,0.0693506,-3367.3994657,44.39,56.96,75.83,82.34
POGXEQ-S6,M06L,def2-TZVP,947.0,1.0,2.0,0.008509,448.32,3607.3,16.0,95763.0,-3206.69361574,-3206.37462622,0.07434652,-3206.44897274,30.66,39.48,40.31,66.6
QOXVUW-S6,M06L,def2-TZVP,2116.0,0.0,2.0,0.812676,955.35,17931.8,32.0,4545225.0,-5302.87749118,-5302.02669009,0.15649411,-5302.18318421,4.36,17.03,21.27,24.64
SAVHIG-S6,M06L,def2-TZVP,1526.0,0.0,2.0,0.556171,686.74,13020.8,16.0,316922.0,-4717.39970867,-4716.80210813,0.10965997,-4716.91176811,13.27,18.87,23.84,25.51
SELQIJ-S4,M06L,def2-TZVP,1576.0,0.0,2.0,0.384726,670.08,17911.2,32.0,827811.0,-4096.39660079,-4095.77754032,0.10119989,-4095.87874021,7.7,19.13,21.12,38.81
SIDVIL-S6,M06L,def2-TZVP,558.0,0.0,2.0,0.010287,285.96,903.7,54.0,106054.0,-2228.18420529,-2228.00777273,0.06133711,-2228.06910983,32.66,52.67,62.49,73.97
TISDUU-S4,M06L,def2-TZVP,1815.0,0.0,2.0,0.174702,870.55,18005.0,32.0,3784966.0,-6552.24372825,-6551.52718994,0.13740529,-6551.66459522,13.05,16.67,19.94,20.46
TOQZEH01-S2,M06L,def2-TZVP,1566.0,0.0,2.0,0.030757,641.41,7208.8,16.0,197466.0,-3214.53056307,-3213.96555019,0.07376786,-3214.03931806,82.79,89.09,130.14,142.66
UHEZOX-S6,M06L,def2-TZVP,952.0,0.0,2.0,0.016952,414.69,3612.6,16.0,134992.0,-2775.6617998,-2775.25997947,0.071012,-2775.33099147,19.39,56.23,72.33,73.64
UHIBAP-S2,M06L,def2-TZVP,977.0,0.0,2.0,0.018253,405.26,3614.2,16.0,115566.0,-2408.28163801,-2407.87212728,0.07220492,-2407.9443322,18.94,55.15,70.76,74.22
UJAZOX-S6,M06L,def2-TZVP,1076.0,0.0,2.0,0.017573,552.46,3617.8,16.0,170074.0,-4614.09151791,-4613.72311512,0.08248263,-4613.80559774,12.32,29.01,30.15,49.4
UWIQIB-S6,M06L,def2-TZVP,1020.0,0.0,2.0,0.019051,449.69,3608.9,16.0,185750.0,-2947.18968107,-2946.76859649,0.08160795,-2946.85020445,23.99,29.57,39.76,53.01
VEFGIW-S6,M06L,def2-TZVP,1162.0,-1.0,2.0,0.019255,533.65,3627.4,16.0,253375.0,-3829.36921377,-3828.9140752,0.08893764,-3829.00301285,21.85,25.99,41.35,53.0
VOFZEV-S6,M06L,def2-TZVP,549.0,1.0,2.0,0.99687,310.89,1115.5,16.0,41976.0,-3256.8748392,-3256.61050636,0.07221696,-3256.68272332,22.53,34.5,36.19,57.39
