Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,TPSSh,def2-TZVP,1825.0,0.0,2.0,0.372157,730.56,3064.7,16.0,2039942.0,-3457.65118225,-3456.99889892,0.11005421,-3457.10895313,11.19,21.12,27.5,28.39
CELVEU-S6,TPSSh,def2-TZVP,872.0,0.0,2.0,0.571534,423.75,3712.1,16.0,180063.0,-3400.13288651,-3399.81280194,0.07739236,-3399.8901943,18.08,30.92,35.93,40.81
CEQPOF-S2,TPSSh,def2-TZVP,871.0,0.0,2.0,0.06609,449.16,3524.8,16.0,286279.0,-2339.57733933,-2339.14923182,0.07849613,-2339.22772794,24.09,42.34,51.18,63.14
ELIRUN-S6,TPSSh,def2-TZVP,934.0,0.0,2.0,0.500053,454.53,3603.1,16.0,295958.0,-3600.47841921,-3600.14618383,0.07621313,-3600.22239695,20.07,38.3,47.14,66.63
EXUBIK-S6,TPSSh,def2-TZVP,1147.0,1.0,2.0,0.022437,516.25,6483.6,16.0,350340.0,-2930.74918837,-2930.44633244,0.08274055,-2930.529073,23.8,29.85,37.27,38.17
FEACAC03-S6,TPSSh,def2-TZVP,822.0,0.0,2.0,0.078989,353.17,3648.7,16.0,250430.0,-2299.93270729,-2299.5671239,0.07983378,-2299.64695768,13.24,38.29,48.98,52.99
FONNAZ-S6,TPSSh,def2-TZVP,1248.0,0.0,2.0,0.047793,525.43,3434.0,16.0,1040701.0,-3114.62473252,-3114.08466763,0.09230595,-3114.17697358,17.07,19.92,23.67,29.32
GEDTUE-S4,TPSSh,def2-TZVP,907.0,0.0,2.0,0.949247,535.41,3648.7,16.0,226275.0,-3814.57016763,-3814.12652539,0.09148637,-3814.21801176,13.38,21.68,22.64,28.74
KANYUT-S6,TPSSh,def2-TZVP,1738.0,0.0,2.0,0.565757,704.0,3184.8,16.0,1619680.0,-3637.47715435,-3636.8420025,0.10518877,-3636.94719128,10.47,20.79,27.87,31.28
KIKBOV-S6,TPSSh,def2-TZVP,1538.0,0.0,2.0,1.492713,710.7,3208.4,16.0,1919491.0,-4787.63745002,-4787.01613947,0.12729232,-4787.14343179,8.64,12.36,15.54,20.34
