Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,PBE0,def2-TZVP,1825.0,0.0,4.0,0.049835,730.56,3064.9,16.0,2169805.0,-3454.72139501,-3454.06216761,0.11073548,-3454.17290309,9.58,21.22,24.63,28.55
CELVEU-S6,PBE0,def2-TZVP,872.0,0.0,4.0,0.064165,423.75,3712.1,16.0,150023.0,-3398.33296424,-3398.01001164,0.07791138,-3398.08792301,17.01,27.51,31.95,37.73
CEQPOF-S2,PBE0,def2-TZVP,871.0,0.0,4.0,0.355759,449.16,3630.6,16.0,276339.0,-2338.39059976,-2337.96176762,0.08242412,-2338.04419174,20.11,34.94,44.38,53.87
ELIRUN-S6,PBE0,def2-TZVP,934.0,0.0,4.0,0.046805,454.53,3602.5,16.0,268343.0,-3598.56688342,-3598.23172929,0.07668586,-3598.30841515,19.28,37.59,45.78,65.08
EXUBIK-S6,PBE0,def2-TZVP,1147.0,1.0,4.0,0.05698,516.25,6483.7,16.0,351072.0,-2928.50182509,-2928.19515293,0.08359212,-2928.27874505,25.41,27.74,33.82,45.92
FEACAC03-S6,PBE0,def2-TZVP,822.0,0.0,4.0,0.054821,353.17,3647.5,16.0,190787.0,-2298.43060938,-2298.06365252,0.08230896,-2298.14596148,24.25,24.62,37.74,46.27
FONNAZ-S6,PBE0,def2-TZVP,1248.0,0.0,4.0,0.052269,525.43,3432.3,16.0,1089892.0,-3112.42786388,-3111.88426485,0.09401671,-3111.97828156,14.81,20.35,26.66,29.69
GEDTUE-S4,PBE0,def2-TZVP,907.0,0.0,4.0,0.184187,535.41,3648.9,16.0,179201.0,-3812.95969253,-3812.51332488,0.09143527,-3812.60476015,13.62,15.81,23.0,29.53
KANYUT-S6,PBE0,def2-TZVP,1738.0,0.0,4.0,0.045845,704.0,3186.5,16.0,928604.0,-3634.67297947,-3634.03171838,0.10577153,-3634.1374899,8.13,17.0,25.51,29.0
KIKBOV-S6,PBE0,def2-TZVP,1538.0,0.0,4.0,0.628425,710.7,3495.2,16.0,1634464.0,-4784.63354954,-4784.00708825,0.12572158,-4784.13280983,7.72,15.03,17.88,23.48
