Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,B3LYP,def2-TZVP,1825.0,0.0,6.0,0.012251,730.56,3061.0,16.0,1167276.0,-3456.11079918,-3455.45807973,0.11205932,-3455.57013905,12.25,21.65,26.95,27.35
CELVEU-S6,B3LYP,def2-TZVP,872.0,0.0,6.0,0.015005,423.75,3711.2,16.0,138401.0,-3399.28234411,-3398.96216364,0.08090819,-3399.04307182,11.43,12.74,24.2,28.23
CEQPOF-S2,B3LYP,def2-TZVP,871.0,0.0,6.0,0.045994,449.16,3624.5,16.0,347661.0,-2338.93590861,-2338.50930375,0.08430833,-2338.59361208,18.03,22.57,29.29,33.03
ELIRUN-S6,B3LYP,def2-TZVP,934.0,0.0,6.0,0.013703,454.53,3600.5,16.0,194361.0,-3599.57409485,-3599.24183734,0.07846888,-3599.32030622,16.48,29.57,45.46,61.46
EXUBIK-S6,B3LYP,def2-TZVP,1147.0,1.0,6.0,0.064278,516.25,6481.8,16.0,296134.0,-2929.57826128,-2929.27834066,0.08632447,-2929.36466513,22.94,27.75,35.29,42.86
FEACAC03-S6,B3LYP,def2-TZVP,822.0,0.0,6.0,0.007444,353.17,3644.7,16.0,133280.0,-2299.22566993,-2298.86131774,0.08437571,-2298.94569345,22.15,22.44,29.16,40.65
FONNAZ-S6,B3LYP,def2-TZVP,1248.0,0.0,6.0,0.013664,525.43,3425.9,16.0,762081.0,-3113.5210104,-3112.98171669,0.09647384,-3113.07819053,14.59,17.04,21.51,23.74
GEDTUE-S4,B3LYP,def2-TZVP,907.0,0.0,6.0,0.016609,535.41,3657.7,16.0,209429.0,-3813.80865056,-3813.36456007,0.09306927,-3813.45762934,11.46,18.2,21.14,23.86
KANYUT-S6,B3LYP,def2-TZVP,1738.0,0.0,6.0,0.011724,704.0,3182.4,16.0,934979.0,-3635.99745734,-3635.36209096,0.1072661,-3635.46935706,12.4,17.41,23.01,23.27
KIKBOV-S6,B3LYP,def2-TZVP,1538.0,0.0,6.0,0.011379,710.7,3493.2,16.0,894747.0,-4786.25662381,-4785.63438313,0.12644852,-4785.76083165,15.8,16.24,21.62,22.1
LUJNOV-S6,B3LYP,def2-TZVP,731.0,0.0,6.0,0.022543,381.05,3438.9,16.0,68506.0,-3317.98401244,-3317.77382922,0.06734346,-3317.84117267,18.34,45.36,58.86,84.16
MOPDUQ-S6,B3LYP,def2-TZVP,1305.0,0.0,6.0,0.011256,542.34,3483.3,16.0,431442.0,-2922.3881133,-2921.88500941,0.09419395,-2921.97920337,12.86,12.96,20.07,36.91
OETPFE-S4,B3LYP,def2-TZVP,1710.0,0.0,6.0,0.009819,688.05,17044.0,32.0,1111969.0,-3641.46978175,-3640.68141883,0.12375131,-3640.80517014,11.67,20.61,26.61,30.2
OQODEE-S6,B3LYP,def2-TZVP,748.0,0.0,6.0,0.011191,382.48,3675.5,16.0,111994.0,-3367.13269337,-3366.83552495,0.0732261,-3366.90875105,37.39,45.02,54.59,62.7
POGXEQ-S6,B3LYP,def2-TZVP,947.0,1.0,6.0,0.007122,448.32,3572.3,16.0,224257.0,-3206.10655767,-3205.78955868,0.07850216,-3205.86806084,26.49,28.9,32.81,64.01
QOXVUW-S6,B3LYP,def2-TZVP,2116.0,0.0,6.0,0.016484,955.35,2925.1,16.0,1797463.0,-5301.61468871,-5300.76947992,0.16147116,-5300.93095109,10.19,16.45,19.04,24.68
SAVHIG-S6,B3LYP,def2-TZVP,1526.0,0.0,6.0,0.013792,686.74,3417.7,16.0,831524.0,-4716.47471249,-4715.88043684,0.11387773,-4715.99431458,14.96,16.77,17.44,22.97
SELQIJ-S4,B3LYP,def2-TZVP,1576.0,0.0,6.0,0.017899,670.08,3315.5,16.0,966057.0,-4095.43917746,-4094.82356286,0.10479781,-4094.92836067,8.58,16.18,17.02,33.34
SIDVIL-S6,B3LYP,def2-TZVP,558.0,0.0,6.0,0.008202,285.96,2200.8,16.0,33530.0,-2227.8570733,-2227.68289797,0.06828692,-2227.75118488,43.12,47.75,58.22,72.18
