Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
AXUMEL-S2,B3LYP,def2-TZVP,765.0,0.0,2.0,0.032174,450.67,4398.0,16.0,75395.0,-5690.91632096,-5690.6936771,0.07570612,-5690.76938322,16.51,21.19,22.49,37.09,
AZULIQ-S6,B3LYP,def2-TZVP,1031.0,0.0,2.0,0.246883,458.28,3592.7,16.0,437609.0,-3143.32896728,-3142.84317856,0.0879328,-3142.93111136,17.53,29.69,38.51,39.79,
BIKZUQ10-S6,B3LYP,def2-TZVP,959.0,0.0,2.0,0.040628,443.45,3656.2,16.0,365908.0,-3037.73883918,-3037.39538348,0.08507238,-3037.48045586,20.26,21.19,24.19,25.65,
BUBGEL-S6,B3LYP,def2-TZVP,1483.0,0.0,2.0,0.012842,618.22,3331.7,16.0,1668515.0,-3989.5153141,-3988.6839423,0.13726391,-3988.8212062,25.64,29.4,35.04,43.54,
BUBGUB-S6,B3LYP,def2-TZVP,1447.0,0.0,2.0,0.014997,521.74,3480.3,16.0,1676274.0,-2481.00004152,-2480.11626527,0.1073491,-2480.22361437,38.68,43.07,44.42,60.79,
BUSMOR-S6,B3LYP,def2-TZVP,843.0,0.0,2.0,0.951877,380.85,3631.4,16.0,586431.0,-3044.70766149,-3044.21940763,0.08884968,-3044.30825731,20.42,31.79,38.81,56.03,
CAZZUY-S6,B3LYP,def2-TZVP,1189.0,0.0,2.0,0.507906,473.49,3532.1,16.0,690769.0,-2850.46397002,-2849.79695599,0.10453049,-2849.90148648,15.65,21.22,30.9,32.45,
CEBBAM-S2,B3LYP,def2-TZVP,1053.0,0.0,2.0,0.02896,459.34,3460.4,16.0,481318.0,-3302.20025181,-3301.61288556,0.09399257,-3301.70687813,28.25,39.58,44.21,67.82,
EQEGEN-S6,B3LYP,def2-TZVP,1279.0,0.0,2.0,0.03236,543.62,3374.5,16.0,1398415.0,-3283.20310233,-3282.67025892,0.10600905,-3282.77626797,19.21,20.74,22.81,23.88,
GIQMUO-S6,B3LYP,def2-TZVP,1116.0,0.0,2.0,0.052348,567.16,3605.2,16.0,394248.0,-3373.09089857,-3372.81900825,0.09650202,-3372.91551027,17.58,18.89,20.8,22.48,
HEVCEQ-S6,B3LYP,def2-TZVP,857.0,0.0,2.0,0.397946,380.26,3542.4,16.0,303584.0,-2841.65299831,-2841.17662079,0.06881353,-2841.24543432,110.43,111.83,120.65,129.17,
IKEQUK-S6,B3LYP,def2-TZVP,1527.0,0.0,2.0,0.408038,655.68,10969.8,16.0,1189799.0,-3728.67932579,-3728.09940505,0.12236067,-3728.22176572,5.87,11.37,15.81,18.53,
IMAFEH-S4,B3LYP,def2-TZVP,1813.0,0.0,2.0,0.159853,725.67,3058.3,16.0,1844126.0,-3314.25874839,-3313.62429321,0.10234272,-3313.72663593,22.47,31.41,37.53,37.87,
KASNUQ-S6,B3LYP,def2-TZVP,1437.0,0.0,2.0,0.340954,701.3,3360.6,16.0,1235943.0,-7903.73665832,-7903.15210761,0.10127796,-7903.25338557,17.23,25.77,30.13,35.35,
KEYPIT-S6,B3LYP,def2-TZVP,799.0,0.0,2.0,0.371622,367.19,3363.4,16.0,201819.0,-2322.83523639,-2322.56535695,0.07709048,-2322.64244743,34.43,36.45,43.32,51.03,
MNPHCY21-S4,B3LYP,def2-TZVP,1381.0,0.0,2.0,2.318805,567.47,3334.8,16.0,447910.0,-2817.769209,-2817.32977328,0.08229581,-2817.41206909,18.46,40.3,53.91,62.35,
NUYZIS-S6,B3LYP,def2-TZVP,855.0,0.0,2.0,0.507894,379.5,3622.3,16.0,275286.0,-2968.73287538,-2968.21691648,0.09662662,-2968.31354309,9.71,16.73,23.14,35.82,
ODIZEG-S2,B3LYP,def2-TZVP,1103.0,0.0,2.0,0.01301,445.44,9435.9,24.0,498202.0,-2771.95655947,-2771.34459183,0.10077155,-2771.44536338,9.13,14.91,29.49,37.64,
OKUXUO-S6,B3LYP,def2-TZVP,978.0,0.0,2.0,0.682883,445.44,3652.7,16.0,723597.0,-3008.08605128,-3007.75952436,0.07975291,-3007.83927727,15.16,17.05,21.57,23.5,
QABBAA-S6,B3LYP,def2-TZVP,1669.0,0.0,2.0,1.530295,650.11,3424.7,16.0,1831772.0,-3655.26332111,-3654.19967944,0.15913853,-3654.35881797,20.8,21.99,26.02,27.5,
SEWMUC-S6,,,,,,,,,,,,,,,,,,,.OUT File not found
SUTWOT-S6,B3LYP,def2-TZVP,1889.0,0.0,2.0,0.06811,861.48,5937.9,16.0,1411046.0,-4317.99507465,-4317.46094137,0.13285415,-4317.59379552,9.47,13.0,14.75,17.68,
TAWFUT-S6,B3LYP,def2-TZVP,1563.0,0.0,2.0,0.037844,707.8,3260.5,16.0,1703985.0,-4533.23638938,-4532.61980768,0.12084601,-4532.74065369,10.9,16.38,19.46,22.17,
TOGPEK-S6,B3LYP,def2-TZVP,1821.0,0.0,2.0,2.506425,848.22,3045.4,16.0,1353678.0,-6017.36510895,-6016.63015331,0.14009476,-6016.77024807,12.06,14.74,18.85,22.39,
TUSBIT-S6,B3LYP,def2-TZVP,904.0,0.0,2.0,0.101821,405.23,7224.2,16.0,572158.0,-2438.16170339,-2437.85038609,0.07752491,-2437.927911,26.96,32.64,57.09,68.16,
VAQDUM-S6,B3LYP,def2-TZVP,1703.0,0.0,2.0,0.06448,781.42,6021.2,16.0,1793960.0,-4022.92242926,-4022.42293854,0.12083979,-4022.54377833,11.53,15.81,17.78,19.37,
VEBJOB-S6,B3LYP,def2-TZVP,1447.0,0.0,2.0,0.015204,521.74,3504.5,16.0,1861619.0,-2481.02710279,-2480.13999071,0.1108392,-2480.25082991,42.39,55.1,64.46,69.13,
XAKDOE01-S6,B3LYP,def2-TZVP,823.0,0.0,2.0,0.148585,389.37,3651.4,16.0,381269.0,-2858.53506183,-2858.2407826,0.07574621,-2858.31652881,16.29,22.82,22.92,30.38,
XAMWEP-S6,B3LYP,def2-TZVP,1630.0,0.0,2.0,1.132541,621.71,3238.3,16.0,1929599.0,-2880.91910494,-2880.16217313,0.11629741,-2880.27847054,16.76,20.04,25.88,27.02,
ZIMGIL-S6,B3LYP,def2-TZVP,1355.0,0.0,2.0,0.061067,573.44,3483.3,16.0,831223.0,-2967.72491859,-2967.23293505,0.09285848,-2967.32579353,12.45,23.48,39.26,43.85,
