Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
AXUMEL-S2,M06L,def2-TZVP,765.0,0.0,2.0,0.023677,450.67,2031.2,16.0,84982.0,-5691.5077223,-5691.28482101,0.07402019,-5691.3588412,17.16,36.36,37.1,45.87,
AZULIQ-S6,M06L,def2-TZVP,1031.0,0.0,2.0,0.13556,458.28,3618.6,16.0,148237.0,-3143.97218266,-3143.48534334,0.08641948,-3143.57176282,21.04,30.4,34.93,38.87,
BIKZUQ10-S6,M06L,def2-TZVP,959.0,0.0,2.0,0.019246,443.45,4235.1,16.0,250866.0,-3038.36009952,-3037.99651085,0.06858519,-3038.06509604,98.4,100.11,105.01,107.21,
BUBGEL-S6,M06L,def2-TZVP,1483.0,0.0,2.0,0.028459,618.22,20564.6,16.0,2500377.0,-3990.43875833,-3989.5921499,0.13633112,-3989.72848103,18.21,30.37,37.38,41.35,
BUBGUB-S6,M06L,def2-TZVP,1447.0,0.0,2.0,0.029472,521.74,3616.9,16.0,679825.0,-2481.86283427,-2480.97307118,0.10510158,-2481.07817276,37.65,47.6,51.51,68.07,
BUSMOR-S6,M06L,def2-TZVP,843.0,0.0,2.0,0.988448,380.85,3608.7,16.0,345615.0,-3045.25120283,-3044.75887824,0.08740643,-3044.84628467,27.44,50.71,53.46,58.81,
CAZZUY-S6,M06L,def2-TZVP,1189.0,0.0,2.0,0.077653,473.49,7202.6,16.0,561192.0,-2851.16386856,-2850.46106374,0.08102869,-2850.54209243,67.07,91.73,107.96,117.75,
CEBBAM-S2,M06L,def2-TZVP,1053.0,0.0,2.0,0.045724,459.34,3613.6,16.0,195014.0,-3302.8874921,-3302.29598743,0.09251221,-3302.38849964,30.39,36.46,43.95,67.1,
EQEGEN-S6,M06L,def2-TZVP,1279.0,0.0,2.0,0.063136,543.62,7206.8,16.0,436581.0,-3283.98766434,-3283.42459271,0.08074516,-3283.50533788,79.88,89.96,90.32,93.13,
GIQMUO-S6,M06L,def2-TZVP,1116.0,0.0,2.0,0.138938,567.16,3624.7,16.0,118133.0,-3373.77583337,-3373.50362787,0.09656076,-3373.60018863,7.72,15.99,19.09,21.81,
HEVCEQ-S6,M06L,def2-TZVP,857.0,0.0,2.0,0.017224,380.26,3612.3,16.0,115872.0,-2842.20956466,-2841.73144891,0.06674901,-2841.79819792,124.84,128.88,133.47,151.01,
IKEQUK-S6,M06L,def2-TZVP,1527.0,0.0,2.0,0.213914,655.68,15587.6,32.0,824144.0,-3729.60093885,-3729.02064471,0.12065588,-3729.14130059,3.96,8.0,12.88,16.74,
IMAFEH-S4,M06L,def2-TZVP,1813.0,0.0,2.0,0.314036,725.67,7170.6,16.0,527167.0,-3315.35347487,-3314.71643546,0.10173243,-3314.81816789,21.11,28.84,35.7,36.89,
KASNUQ-S6,M06L,def2-TZVP,1437.0,0.0,2.0,0.118802,701.3,3618.0,16.0,313633.0,-7904.55929656,-7903.97308959,0.0989512,-7904.07204079,20.97,30.22,31.04,38.44,
KEYPIT-S6,M06L,def2-TZVP,799.0,0.0,2.0,0.019571,367.19,2445.4,32.0,118647.0,-2323.31204758,-2323.04215681,0.0761671,-2323.11832391,29.39,38.29,39.6,53.41,
MNPHCY21-S4,M06L,def2-TZVP,1381.0,0.0,2.0,2.235894,567.47,3606.2,16.0,174053.0,-2818.60451483,-2818.16219555,0.08217722,-2818.24437277,18.25,40.12,56.97,61.86,
NUYZIS-S6,M06L,def2-TZVP,855.0,0.0,2.0,0.06264,379.5,3617.8,16.0,180107.0,-2969.27182999,-2968.75090215,0.09217761,-2968.84307976,25.14,34.7,38.9,56.37,
ODIZEG-S2,M06L,def2-TZVP,1103.0,0.0,2.0,0.021477,445.44,3607.5,16.0,356107.0,-2772.64816347,-2772.03173053,0.09733547,-2772.129066,19.57,31.1,42.67,48.11,
OKUXUO-S6,M06L,def2-TZVP,978.0,0.0,2.0,0.259159,445.44,4229.5,16.0,37692.0,-3008.72398713,-3008.37557172,0.06443322,-3008.44000494,90.67,100.38,104.38,123.45,
QABBAA-S6,M06L,def2-TZVP,1669.0,0.0,2.0,1.282388,650.11,7218.0,16.0,619980.0,-3656.24604421,-3655.17406866,0.15218296,-3655.32625161,20.6,30.66,32.13,36.52,
SEWMUC-S6,M06L,def2-TZVP,3107.0,0.0,2.0,0.451975,1284.2,34684.0,16.0,,,,,,,,,,"Unknown Error, probably timeout"
SUTWOT-S6,M06L,def2-TZVP,1889.0,0.0,2.0,0.175371,861.48,12998.0,16.0,390591.0,-4319.14928138,-4318.61419815,0.13195699,-4318.74615514,8.58,8.74,15.4,15.5,
TAWFUT-S6,M06L,def2-TZVP,1563.0,0.0,2.0,0.059149,707.8,7223.5,16.0,654064.0,-4534.23537925,-4533.5821005,0.0927567,-4533.6748572,69.94,75.15,76.83,80.67,
TOGPEK-S6,M06L,def2-TZVP,1821.0,0.0,2.0,1.18067,848.22,7217.9,16.0,2749528.0,-6018.60208001,-6017.81948328,0.10746903,-6017.92695231,72.11,89.16,89.71,93.84,
TUSBIT-S6,M06L,def2-TZVP,904.0,0.0,2.0,0.213776,405.23,3502.2,32.0,215981.0,-2438.72608343,-2438.41353865,0.07582788,-2438.48936653,20.96,43.63,56.47,70.38,
VAQDUM-S6,M06L,def2-TZVP,1703.0,0.0,2.0,0.228978,781.42,15603.7,32.0,3547490.0,-4023.93680753,-4023.43653199,0.12075387,-4023.55728587,7.7,10.38,13.72,15.25,
VEBJOB-S6,M06L,def2-TZVP,1447.0,0.0,2.0,0.026223,521.74,7214.3,16.0,712077.0,-2481.89273597,-2480.95720748,0.08511072,-2481.0423182,140.69,147.46,148.44,154.41,
XAKDOE01-S6,M06L,def2-TZVP,823.0,0.0,2.0,0.071833,389.37,2781.7,16.0,150546.0,-2859.06989481,-2858.77517221,0.07476594,-2858.84993815,7.5,13.29,22.9,29.3,
XAMWEP-S6,M06L,def2-TZVP,1630.0,0.0,2.0,0.633245,621.71,7191.4,16.0,674194.0,-2881.86006161,-2881.09948372,0.11126645,-2881.21075017,16.27,22.91,30.71,34.0,
ZIMGIL-S6,M06L,def2-TZVP,1355.0,0.0,2.0,0.175429,573.44,3609.6,16.0,328093.0,-2968.55477479,-2968.06198781,0.09225955,-2968.15424736,11.53,18.93,37.42,38.74,
