Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
AXUMEL-S2,TPSSh,def2-TZVP,765.0,0.0,2.0,0.037092,450.67,3280.4,16.0,232588.0,-5691.85189027,-5691.62934238,0.07518563,-5691.70452801,6.15,17.17,20.32,43.12,
AZULIQ-S6,TPSSh,def2-TZVP,1031.0,0.0,2.0,0.144137,458.28,3594.4,16.0,581152.0,-3144.28702261,-3143.80249106,0.08745414,-3143.8899452,16.75,26.72,39.89,40.22,
BIKZUQ10-S6,TPSSh,def2-TZVP,959.0,0.0,2.0,0.061137,443.45,3657.6,16.0,368081.0,-3038.66203061,-3038.31961933,0.08442088,-3038.40404021,22.11,22.16,27.43,29.06,
BUBGEL-S6,TPSSh,def2-TZVP,1483.0,0.0,2.0,0.011302,618.22,3358.0,16.0,2132734.0,-3990.84816917,-3990.01751001,0.13912028,-3990.15663029,23.76,24.13,35.6,38.38,
BUBGUB-S6,TPSSh,def2-TZVP,1447.0,0.0,2.0,0.013694,521.74,3505.1,16.0,1996471.0,-2482.17977743,-2481.29821942,0.10891627,-2481.4071357,36.27,36.78,41.56,60.55,
BUSMOR-S6,TPSSh,def2-TZVP,843.0,0.0,2.0,0.995846,380.85,3633.8,16.0,875257.0,-3045.52053745,-3045.03303386,0.08923251,-3045.12226637,24.54,41.55,48.66,60.74,
CAZZUY-S6,TPSSh,def2-TZVP,1189.0,0.0,2.0,0.39642,473.49,3534.7,16.0,762541.0,-2851.48488863,-2850.81940818,0.1051992,-2850.92460738,15.19,22.58,29.5,32.69,
CEBBAM-S2,TPSSh,def2-TZVP,1053.0,0.0,2.0,0.02466,459.34,3461.8,16.0,554677.0,-3303.20350638,-3302.61720432,0.09451069,-3302.71171501,25.03,35.49,41.64,67.76,
EQEGEN-S6,TPSSh,def2-TZVP,1279.0,0.0,2.0,0.046659,543.62,3362.6,16.0,1098572.0,-3284.34542513,-3283.81382857,0.10583673,-3283.91966529,13.61,14.78,20.28,21.79,
GIQMUO-S6,TPSSh,def2-TZVP,1116.0,0.0,2.0,0.078299,567.16,3606.3,16.0,426265.0,-3374.13795186,-3373.86724324,0.09626039,-3373.96350363,17.75,19.5,21.02,22.0,
HEVCEQ-S6,TPSSh,def2-TZVP,857.0,0.0,2.0,0.25852,380.26,3543.0,16.0,391188.0,-2842.47127952,-2841.99660933,0.06830873,-2842.06491805,111.49,118.7,124.98,139.08,
IKEQUK-S6,TPSSh,def2-TZVP,1527.0,0.0,2.0,0.386808,655.68,10971.6,16.0,1233928.0,-3730.03214135,-3729.45399229,0.1215634,-3729.57555568,5.86,11.15,15.2,19.7,
IMAFEH-S4,TPSSh,def2-TZVP,1813.0,0.0,2.0,0.164142,725.67,3060.9,16.0,1688178.0,-3315.81592578,-3315.18306992,0.10247574,-3315.28554566,20.9,31.63,37.38,38.5,
KASNUQ-S6,TPSSh,def2-TZVP,1437.0,0.0,2.0,0.180084,701.3,3363.7,16.0,1196826.0,-7904.93527551,-7904.35306677,0.10118272,-7904.45424949,16.7,24.49,28.35,35.5,
KEYPIT-S6,TPSSh,def2-TZVP,799.0,0.0,2.0,0.376854,367.19,3363.5,16.0,200210.0,-2323.56650776,-2323.29769359,0.0768698,-2323.37456339,32.0,38.11,40.0,51.07,
MNPHCY21-S4,TPSSh,def2-TZVP,1381.0,0.0,2.0,0.996089,567.47,3334.7,16.0,1107156.0,-2818.968685,-2818.52631933,0.08219634,-2818.60851567,19.88,38.25,55.27,63.9,
NUYZIS-S6,TPSSh,def2-TZVP,855.0,0.0,2.0,0.071224,379.5,3625.1,16.0,357241.0,-2969.54203839,-2969.02665302,0.09640862,-2969.12306164,19.05,23.39,30.3,40.86,
ODIZEG-S2,TPSSh,def2-TZVP,1103.0,0.0,2.0,0.011358,445.44,6247.7,16.0,333003.0,-2772.94001443,-2772.32858369,0.1005813,-2772.42916499,8.92,29.34,35.67,39.78,
OKUXUO-S6,TPSSh,def2-TZVP,978.0,0.0,2.0,0.335645,445.44,3653.7,16.0,540685.0,-3009.01886505,-3008.69318472,0.07977913,-3008.77296385,18.65,18.74,20.04,20.42,
QABBAA-S6,TPSSh,def2-TZVP,1669.0,0.0,2.0,1.588509,650.11,3426.7,16.0,1973135.0,-3656.64552553,-3655.58344558,0.16094489,-3655.74439047,16.91,19.28,25.8,26.98,
SEWMUC-S6,TPSSh,def2-TZVP,3107.0,0.0,2.0,1.235101,1284.2,1761.5,32.0,,,,,,,,,,"Unknown Error, probably timeout"
SUTWOT-S6,TPSSh,def2-TZVP,1889.0,0.0,2.0,0.095718,861.48,5941.1,16.0,1448106.0,-4319.6768735,-4319.14492517,0.13323689,-4319.27816206,9.4,12.51,14.94,15.05,
TAWFUT-S6,TPSSh,def2-TZVP,1563.0,0.0,2.0,0.059584,707.8,3263.6,16.0,1789943.0,-4534.70597982,-4534.09081371,0.12070276,-4534.21151647,11.69,17.22,21.68,22.1,
TOGPEK-S6,TPSSh,def2-TZVP,1821.0,0.0,2.0,1.015463,848.22,3045.9,16.0,1994666.0,-6019.16227528,-6018.42608186,0.1413953,-6018.56747717,9.12,13.23,15.41,17.94,
TUSBIT-S6,TPSSh,def2-TZVP,904.0,0.0,2.0,0.143317,405.23,7225.0,16.0,573878.0,-2438.99480259,-2438.68454216,0.07693943,-2438.76148158,29.58,34.9,62.8,67.45,
VAQDUM-S6,TPSSh,def2-TZVP,1703.0,0.0,2.0,0.108708,781.42,6022.8,16.0,1856646.0,-4024.436369,-4023.93889823,0.12091761,-4024.05981585,11.52,15.42,17.69,18.59,
VEBJOB-S6,TPSSh,def2-TZVP,1447.0,0.0,2.0,0.01384,521.74,3507.2,16.0,1744239.0,-2482.20428521,-2481.31917808,0.11162441,-2481.43080249,44.9,54.97,65.18,66.83,
XAKDOE01-S6,TPSSh,def2-TZVP,823.0,0.0,2.0,0.114423,389.37,3651.9,16.0,400545.0,-2859.331324,-2859.03789143,0.07538435,-2859.11327578,16.09,21.71,23.28,23.91,
XAMWEP-S6,TPSSh,def2-TZVP,1630.0,0.0,2.0,1.184676,621.71,3240.8,16.0,2069311.0,-2882.25878274,-2881.50366125,0.11624516,-2881.61990641,17.16,19.58,26.49,27.69,
ZIMGIL-S6,TPSSh,def2-TZVP,1355.0,0.0,2.0,0.090296,573.44,3484.3,16.0,908626.0,-2968.92749886,-2968.43724967,0.09290337,-2968.53015304,11.89,22.14,38.3,43.67,
