Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
AXUMEL-S2,PBE0,def2-TZVP,765.0,0.0,4.0,0.054305,450.67,3279.7,16.0,204427.0,-5689.82740745,-5689.60293889,0.07669821,-5689.6796371,9.7,13.97,18.08,33.89,
AZULIQ-S6,PBE0,def2-TZVP,1031.0,0.0,4.0,0.065886,458.28,3592.2,16.0,390125.0,-3142.39471467,-3141.90680451,0.09000802,-3141.99681253,17.11,27.51,29.08,38.29,
BIKZUQ10-S6,PBE0,def2-TZVP,959.0,0.0,4.0,0.032064,443.45,3656.8,16.0,245812.0,-3036.78073441,-3036.43527032,0.08655126,-3036.52182158,21.65,29.06,31.48,36.27,
BUBGEL-S6,PBE0,def2-TZVP,1483.0,0.0,4.0,0.09682,618.22,3331.2,16.0,1220758.0,-3988.28689224,-3987.45426683,0.13988308,-3987.59414991,21.13,25.73,29.1,36.35,
BUBGUB-S6,PBE0,def2-TZVP,1447.0,0.0,4.0,0.089314,521.74,3479.3,16.0,1598968.0,-2480.16411514,-2479.27848496,0.10932725,-2479.38781221,38.06,41.85,46.45,55.98,
BUSMOR-S6,PBE0,def2-TZVP,843.0,0.0,4.0,0.078546,380.85,3633.7,16.0,356202.0,-3043.99066056,-3043.50119369,0.08895953,-3043.59015321,27.51,37.09,44.49,61.53,
CAZZUY-S6,PBE0,def2-TZVP,1189.0,0.0,4.0,0.206952,473.49,3533.1,16.0,737682.0,-2849.62467124,-2848.95440699,0.10453672,-2849.05894371,18.88,23.69,27.43,30.14,
CEBBAM-S2,PBE0,def2-TZVP,1053.0,0.0,4.0,0.156628,459.34,3453.9,16.0,538661.0,-3301.29653464,-3300.70898118,0.10007137,-3300.80905255,17.74,31.99,32.87,39.8,
EQEGEN-S6,PBE0,def2-TZVP,1279.0,0.0,4.0,0.038968,543.62,3571.6,16.0,644589.0,-3282.09514935,-3281.56031341,0.11096756,-3281.67128096,7.39,12.47,14.31,18.56,
GIQMUO-S6,PBE0,def2-TZVP,1116.0,0.0,4.0,0.492713,567.16,3603.8,16.0,262388.0,-3371.66017494,-3371.38714479,0.09997324,-3371.48711803,17.32,20.2,20.79,23.42,
HEVCEQ-S6,PBE0,def2-TZVP,857.0,0.0,4.0,0.470892,380.26,3542.2,16.0,204472.0,-2840.93037307,-2840.45260652,0.07034491,-2840.52295143,97.53,98.31,111.69,122.75,
IKEQUK-S6,PBE0,def2-TZVP,1527.0,0.0,4.0,0.21501,655.68,10665.7,16.0,1123674.0,-3727.30876983,-3726.72612059,0.12590821,-3726.85202879,4.93,7.1,14.34,14.92,
IMAFEH-S4,PBE0,def2-TZVP,1813.0,0.0,4.0,0.812107,725.67,3053.4,16.0,1672945.0,-3312.90841955,-3312.27122682,0.10738621,-3312.37861303,21.02,21.96,22.86,27.9,
KASNUQ-S6,PBE0,def2-TZVP,1437.0,0.0,4.0,0.079287,701.3,3361.4,16.0,1080682.0,-7902.34556396,-7901.75771049,0.102392,-7901.86010249,17.13,25.67,28.58,33.44,
KEYPIT-S6,PBE0,def2-TZVP,799.0,0.0,4.0,0.021149,367.19,3362.6,16.0,214684.0,-2322.01929712,-2321.74701081,0.078988,-2321.82599881,25.9,32.2,36.57,40.39,
MNPHCY21-S4,PBE0,def2-TZVP,1381.0,0.0,4.0,0.45613,567.47,3336.3,16.0,665853.0,-2816.72005721,-2816.27505664,0.0824032,-2816.35745984,20.1,41.07,52.32,63.27,
NUYZIS-S6,PBE0,def2-TZVP,855.0,0.0,4.0,0.152103,379.5,3623.0,16.0,229883.0,-2967.98266007,-2967.46503564,0.09717901,-2967.56221465,14.67,20.3,25.04,37.68,
ODIZEG-S2,PBE0,def2-TZVP,1103.0,0.0,4.0,0.088071,445.44,3427.3,16.0,559377.0,-2771.13762263,-2770.52449213,0.10278642,-2770.62727856,17.55,21.0,37.52,39.06,
OKUXUO-S6,PBE0,def2-TZVP,978.0,0.0,4.0,0.809175,445.44,3652.2,16.0,526630.0,-3007.1713965,-3006.84312838,0.08069957,-3006.92382795,13.23,15.28,17.9,20.69,
QABBAA-S6,PBE0,def2-TZVP,1669.0,0.0,4.0,0.811632,650.11,3430.4,16.0,2360430.0,-3654.06078889,-3652.99298084,0.15784856,-3653.15082939,23.59,30.8,35.83,36.8,
SEWMUC-S6,PBE0,def2-TZVP,3107.0,0.0,4.0,0.469731,1284.2,33245.9,16.0,,,,,,,,,,"Unknown Error, probably timeout"
SUTWOT-S6,PBE0,def2-TZVP,1889.0,0.0,4.0,0.252391,861.48,5936.8,16.0,1136199.0,-4316.00350769,-4315.46568941,0.13606837,-4315.60175778,9.07,10.68,12.57,14.5,
TAWFUT-S6,PBE0,def2-TZVP,1563.0,0.0,4.0,0.032014,707.8,3257.4,16.0,1566256.0,-4531.71941478,-4531.09886312,0.12326014,-4531.22212326,11.12,12.8,15.35,16.04,
TOGPEK-S6,PBE0,def2-TZVP,1821.0,0.0,4.0,0.799957,848.22,3047.7,16.0,1245567.0,-6015.62935418,-6014.88762049,0.14037695,-6015.02799744,4.54,13.1,14.04,20.34,
TUSBIT-S6,PBE0,def2-TZVP,904.0,0.0,4.0,0.032931,405.23,7222.2,16.0,676210.0,-2437.28726258,-2436.97360987,0.08170324,-2437.0553131,11.97,27.47,38.05,43.26,
VAQDUM-S6,PBE0,def2-TZVP,1703.0,0.0,4.0,0.708099,781.42,6017.6,16.0,1344414.0,-4021.11176043,-4020.60960658,0.12373688,-4020.73334346,9.17,12.97,14.16,15.94,
VEBJOB-S6,PBE0,def2-TZVP,1447.0,0.0,4.0,0.100333,521.74,3481.9,16.0,1280710.0,-2480.18959708,-2479.30076359,0.11274651,-2479.4135101,43.84,47.04,63.55,66.53,
XAKDOE01-S6,PBE0,def2-TZVP,823.0,0.0,4.0,0.064324,389.37,5701.2,16.0,102285.0,-2857.68496251,-2857.38921209,0.07773845,-2857.46695055,17.32,19.07,19.1,33.16,
XAMWEP-S6,PBE0,def2-TZVP,1630.0,0.0,4.0,0.096737,621.71,3245.8,16.0,1848611.0,-2879.84928676,-2879.08823132,0.11453042,-2879.20276175,20.0,24.87,27.77,30.85,
ZIMGIL-S6,PBE0,def2-TZVP,1355.0,0.0,4.0,0.082401,573.44,3479.9,16.0,684209.0,-2966.53634581,-2966.04179268,0.09598404,-2966.13777672,10.25,18.55,32.65,38.35,
